Running for 7200.0 seconds (7200 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
11:01:23   0.5   0.0   6.3  93.2   0.0   16 146877  36097   46   68    2 279.90 
11:01:24   5.9   0.0  26.3  67.7   0.0   65  33012  23210   54    0    0 400.27 
11:01:25  39.5   0.0  10.5  50.0   0.0   65   1749  19299    0    0    0 466.08 
11:01:26  46.6   0.0   1.8  51.6   0.0   66   1977  20032    0    0    0 522.03 
11:01:27  46.6   0.0   2.1  51.2   0.0   65   2274  17921    0    0    0 504.95 
11:01:28  46.2   0.0   2.0  51.8   0.0   65   1965  17701    0    0    0 498.30 
11:01:29  46.7   0.0   1.6  51.7   0.0   65   1875  17518    0    0    0 498.29 
11:01:30  46.8   0.0   1.8  51.4   0.0   65   1896  18027    0    0    0 498.74 
11:01:31  46.5   0.0   1.6  51.9   0.0   65   2161  17648    0    0    0 498.29 
11:01:32  46.6   0.0   1.5  51.9   0.0   65   2017  17929    1    0    0 497.59 
11:01:33  46.4   0.0   2.8  50.7   0.0   65   2026  17917    0    0    0 499.21 
11:01:34  47.0   0.0   1.6  51.3   0.0   65   1780  17617    0    0    0 496.74 
11:01:35  47.8   0.0   1.6  50.6   0.0   65   1966  17824    0    0    0 499.80 
11:01:36  47.8   0.0   1.3  50.9   0.0   65   1741  17791    0    0    0 498.22 
11:01:37  47.6   0.0   1.5  50.9   0.0   54   1689  17652    0    0    0 497.78 
11:01:38  47.6   0.0   1.4  51.0   0.0   65   1670  17478    0    0    0 497.99 
11:01:39  47.9   0.0   1.2  50.9   0.0   65   1992  17865    0    0    0 498.59 
11:01:40  48.2   0.0   1.2  50.6   0.0   65   1627  17703    0    0    0 498.53 
11:01:41  47.5   0.0   1.4  51.2   0.0   65   1845  17431    0    0    0 496.26 
11:01:42  48.0   0.0   1.1  50.9   0.0   51   1695  17662    0    0    0 499.37 
11:01:43  47.9   0.0   1.1  51.0   0.0   65   2040  17673    0    0    0 498.32 
11:01:44  48.0   0.0   1.0  50.9   0.0   65   1748  17539    0    0    0 496.01 
11:01:45  48.5   0.0   0.9  50.6   0.0   65   1704  17625    0    0    0 500.76 
11:01:46  48.2   0.0   0.9  50.9   0.0   65   1763  17528    0    0    0 497.72 
11:01:47  48.3   0.0   0.9  50.7   0.0   49   1924  17736    0    0    0 498.17 
11:01:48  48.1   0.0   0.9  51.0   0.0   65   1657  17636    0    0    0 497.80 
11:01:49  48.1   0.0   1.0  50.9   0.0   65   1699  17586    0    0    0 499.06 
11:01:50  48.4   0.0   1.0  50.6   0.0   65   1677  17596    0    0    0 498.17 
11:01:51  48.0   0.0   1.0  51.1   0.0   65   2064  17513    0    0    0 496.37 
11:01:52  48.1   0.0   0.9  51.0   0.0   65   1738  17473    0    0    0 500.03 
11:01:53  48.6   0.0   0.9  50.5   0.0   65   1692  17706    0    0    0 498.12 
11:01:54  48.3   0.0   0.8  50.9   0.0   65   1751  17627    0    0    0 496.78 
11:01:55  48.3   0.0   0.8  50.9   0.0   58   1948  17577    0    0    0 499.19 
