Running for 7200.0 seconds (7200 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
12:26:04   0.6   0.0   5.9  93.5   0.0    1 148225  34996   49   68    2 270.83 
12:26:05   7.1   0.0  27.1  65.8   0.0   65  26443  19997   51    0    0 404.03 
12:26:06   4.8   0.0  45.2  50.0   0.0   65   1477  18093    0    0    0 489.63 
12:26:07   4.8   0.0  45.2  50.0   0.0   65   1723  17699    0    0    0 490.64 
12:26:08   4.7   0.0  45.3  50.0   0.0   65   1441  17678    0    0    0 491.28 
12:26:09  22.8   0.0  27.2  50.0   0.0   65   1417  17823    0    0    0 491.46 
12:26:10  21.9   0.0  28.1  50.0   0.0   65   1441  17637    0    0    0 477.38 
12:26:11  50.0   0.0   0.0  50.0   0.0   65   1770  17889    0    0    0 437.83 
12:26:12  50.0   0.0   0.0  50.0   0.0   65   1414  18343    0    0    0 437.24 
12:26:13  45.6   0.0   0.1  54.3   0.0   65   1540  16328    0    0    0 413.19 
12:26:14  24.3   0.0  15.3  60.4   0.0   34   1573  15206    0    0    0 389.08 
12:26:15  18.4   0.0  15.3  66.2   0.0   65   1679  12608    0    0    0 412.10 
12:26:16  33.8   0.0   8.3  57.8   0.0   33   1445  15052    0    0    0 496.69 
12:26:17  22.9   0.0   2.2  75.0   0.0   33   1321   9389    0    0    0 413.73 
12:26:18  38.1   0.0   3.4  58.5   0.0   65   1434  14639    0    0    0 489.64 
12:26:19  41.9   0.0   4.3  53.8   0.0   65   1730  16212    0    0    0 507.70 
12:26:20  25.0   0.0   2.0  73.0   0.0   33   1356   9896    0    0    0 424.16 
12:26:21  32.6   0.0   2.4  65.1   0.0   65   1387  12480    0    0    0 457.98 
12:26:22  38.0   0.0   2.6  59.4   0.0   33   1422  14257    0    0    0 486.50 
12:26:23  23.7   0.0   1.3  75.0   0.0   34   1688   9479    0    0    0 414.19 
12:26:24  45.3   0.0   2.2  52.5   0.0   65   2398  17236    0    0    0 511.70 
12:26:25  39.6   0.0   2.6  57.8   0.0   33   1510  14780    0    0    0 489.76 
12:26:26  23.9   0.0   1.1  75.0   0.0   33   1354   9387    0    0    0 414.66 
12:26:27  39.0   0.0   3.3  57.7   0.0   65   1681  14975    0    0    0 491.11 
12:26:28  30.7   0.0   2.5  66.8   0.0   33   1380  12032    0    0    0 454.25 
12:26:29  27.1   0.0   1.6  71.3   0.0   65   1345  10445    0    0    0 430.15 
12:26:30  44.6   0.0   3.3  52.2   0.0   65   1420  16539    0    0    0 516.97 
12:26:31  36.5   0.0   2.0  61.4   0.0   33   1701  13547    0    0    0 470.57 
12:26:32  22.9   0.0   2.4  74.8   0.0   37   1315   9367    0    0    0 414.87 
12:26:33  45.3   0.0   2.0  52.6   0.0   65   1382  16586    0    0    0 512.42 
12:26:34  26.2   0.0   1.2  72.6   0.0   33   1519  10117    0    0    0 426.12 
12:26:35  33.2   0.0   1.4  65.4   0.0   65   1613  12528    0    0    0 455.49 
12:26:36  44.6   0.0   3.0  52.4   0.0   65   1717  16755    0    0    0 515.48 
12:26:37  29.9   0.0   2.3  67.8   0.0   33   1381  11634    0    0    0 446.26 
12:26:38  27.6   0.0   2.0  70.4   0.0   65   1340  10729    0    0    0 435.43 
12:26:39  42.2   0.0   2.2  55.6   0.0   33   1590  15376    0    0    0 501.54 
12:26:40  23.1   0.0   1.9  75.0   0.0   33   1288   9340    0    0    0 414.72 
12:26:41  40.2   0.0   2.5  57.3   0.0   65   1400  14912    0    0    0 490.91 
12:26:42  45.0   0.0   1.7  53.3   0.0   33   1500  16134    0    0    0 508.17 
12:26:43  22.8   0.0   2.2  75.0   0.0   33   1557   9368    0    0    0 416.66 
12:26:44  37.2   0.0   1.3  61.5   0.0   65   1785  14028    1    0    1 472.62 
12:26:45  33.8   0.0   1.8  64.4   0.0   33   1337  12609    0    0    0 463.37 
