TIMESTAMP,BENCH,TAG,CMD,EXEC_TIME,RES_FILE,ARCH_FILE,PERFORMANCE
01-02-2022_14:14:41.526652,hpcg_cpu,16x_60s_mpi_n64_ppn1_ont1,mpiexec.hydra -n 64 -ppn 1 env OMP_NUM_THREADS=1 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0014941692352294, hpcg_cpu01-02-2022_14:14:41.526652_out.txt,hpcg_cpu01-02-2022_14:14:41.526652_arch.txt,83.684553
01-02-2022_14:16:32.488606,hpcg_cpu,16x_60s_mpi_n64_ppn1_ont1,mpiexec.hydra -n 64 -ppn 1 env OMP_NUM_THREADS=1 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0014803409576416, hpcg_cpu01-02-2022_14:16:32.488606_out.txt,hpcg_cpu01-02-2022_14:16:32.488606_arch.txt,81.998594
01-02-2022_14:17:37.528778,hpcg_cpu,16x_60s_mpi_n64_ppn1_ont1,mpiexec.hydra -n 64 -ppn 1 env OMP_NUM_THREADS=1 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0014510154724121, hpcg_cpu01-02-2022_14:17:37.528778_out.txt,hpcg_cpu01-02-2022_14:17:37.528778_arch.txt,80.628046
01-02-2022_14:19:24.524343,hpcg_cpu,16x_60s_mpi_n64_ppn1_ont1,mpiexec.hydra -n 64 -ppn 1 env OMP_NUM_THREADS=1 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0013849735260009, hpcg_cpu01-02-2022_14:19:24.524343_out.txt,hpcg_cpu01-02-2022_14:19:24.524343_arch.txt,79.567919
01-02-2022_14:30:12.995436,hpcg_cpu,16x_60s_mpi_n16_ppn1_ont1,mpiexec.hydra -n 16 -ppn 1 env OMP_NUM_THREADS=1 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0014333724975585, hpcg_cpu01-02-2022_14:30:12.995436_out.txt,hpcg_cpu01-02-2022_14:30:12.995436_arch.txt,48.272207
01-02-2022_14:32:13.381347,hpcg_cpu,16x_60s_mpi_n32_ppn1_ont1,mpiexec.hydra -n 32 -ppn 1 env OMP_NUM_THREADS=1 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.001471996307373, hpcg_cpu01-02-2022_14:32:13.381347_out.txt,hpcg_cpu01-02-2022_14:32:13.381347_arch.txt,75.426969
01-02-2022_14:33:21.547933,hpcg_cpu,16x_60s_mpi_n32_ppn1_ont1,mpiexec.hydra -n 32 -ppn 1 env OMP_NUM_THREADS=1 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0013549327850341, hpcg_cpu01-02-2022_14:33:21.547933_out.txt,hpcg_cpu01-02-2022_14:33:21.547933_arch.txt,75.339247
01-02-2022_14:34:47.599983,hpcg_cpu,16x_60s_mpi_n128_ppn1_ont1,mpiexec.hydra -n 128 -ppn 1 env OMP_NUM_THREADS=1 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0014779567718505, hpcg_cpu01-02-2022_14:34:47.599983_out.txt,hpcg_cpu01-02-2022_14:34:47.599983_arch.txt,56.301569
01-02-2022_14:38:14.208712,hpcg_cpu,16x_60s_mpi_n64_ppn1_ont2,mpiexec.hydra -n 64 -ppn 1 env OMP_NUM_THREADS=2 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0014736652374267, hpcg_cpu01-02-2022_14:38:14.208712_out.txt,hpcg_cpu01-02-2022_14:38:14.208712_arch.txt,86.641619
01-02-2022_14:43:27.914707,hpcg_cpu,16x_60s_mpi_n64_ppn1_ont2,mpiexec.hydra -n 64 -ppn 1 env OMP_NUM_THREADS=2 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0014915466308593, hpcg_cpu01-02-2022_14:43:27.914707_out.txt,hpcg_cpu01-02-2022_14:43:27.914707_arch.txt,84.091137
01-02-2022_14:45:09.801435,hpcg_cpu,16x_60s_mpi_n32_ppn1_ont4,mpiexec.hydra -n 32 -ppn 1 env OMP_NUM_THREADS=4 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0013508796691894, hpcg_cpu01-02-2022_14:45:09.801435_out.txt,hpcg_cpu01-02-2022_14:45:09.801435_arch.txt,81.869089
01-02-2022_14:46:51.170867,hpcg_cpu,16x_60s_mpi_n16_ppn1_ont8,mpiexec.hydra -n 16 -ppn 1 env OMP_NUM_THREADS=8 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0014975070953369, hpcg_cpu01-02-2022_14:46:51.170867_out.txt,hpcg_cpu01-02-2022_14:46:51.170867_arch.txt,41.201095
01-02-2022_14:47:52.416772,hpcg_cpu,16x_60s_mpi_n8_ppn1_ont16,mpiexec.hydra -n 8 -ppn 1 env OMP_NUM_THREADS=16 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0014533996582031, hpcg_cpu01-02-2022_14:47:52.416772_out.txt,hpcg_cpu01-02-2022_14:47:52.416772_arch.txt,29.480237
01-02-2022_14:50:18.821133,hpcg_cpu,16x_60s_mpi_n64_ppn2_ont2,mpiexec.hydra -n 64 -ppn 2 env OMP_NUM_THREADS=2 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0015082359313964, hpcg_cpu01-02-2022_14:50:18.821133_out.txt,hpcg_cpu01-02-2022_14:50:18.821133_arch.txt,83.337803
01-02-2022_14:51:59.824719,hpcg_cpu,16x_60s_mpi_n64_ppn4_ont2,mpiexec.hydra -n 64 -ppn 4 env OMP_NUM_THREADS=2 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0014677047729492, hpcg_cpu01-02-2022_14:51:59.824719_out.txt,hpcg_cpu01-02-2022_14:51:59.824719_arch.txt,82.154275
01-02-2022_14:54:17.298011,hpcg_cpu,32x_60s_mpi_n64_ppn1_ont2,mpiexec.hydra -n 64 -ppn 1 env OMP_NUM_THREADS=2 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0014505386352539, hpcg_cpu01-02-2022_14:54:17.298011_out.txt,hpcg_cpu01-02-2022_14:54:17.298011_arch.txt,60.187216
01-02-2022_14:56:06.964299,hpcg_cpu,32x_60s_mpi_n128_ppn1_ont1,mpiexec.hydra -n 128 -ppn 1 env OMP_NUM_THREADS=1 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0014145374298095, hpcg_cpu01-02-2022_14:56:06.964299_out.txt,hpcg_cpu01-02-2022_14:56:06.964299_arch.txt,55.981155
01-02-2022_14:57:45.046296,hpcg_cpu,32x_60s_mpi_n32_ppn1_ont4,mpiexec.hydra -n 32 -ppn 1 env OMP_NUM_THREADS=4 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0013849735260009, hpcg_cpu01-02-2022_14:57:45.046296_out.txt,hpcg_cpu01-02-2022_14:57:45.046296_arch.txt,65.173663
01-02-2022_14:59:49.446289,hpcg_cpu,32x_60s_mpi_n16_ppn1_ont8,mpiexec.hydra -n 16 -ppn 1 env OMP_NUM_THREADS=8 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0014686584472656, hpcg_cpu01-02-2022_14:59:49.446289_out.txt,hpcg_cpu01-02-2022_14:59:49.446289_arch.txt,71.049064
01-02-2022_15:01:18.008642,hpcg_cpu,32x_60s_mpi_n8_ppn1_ont16,mpiexec.hydra -n 8 -ppn 1 env OMP_NUM_THREADS=16 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0014405250549316, hpcg_cpu01-02-2022_15:01:18.008642_out.txt,hpcg_cpu01-02-2022_15:01:18.008642_arch.txt,72.783723
01-02-2022_15:05:45.628007,hpcg_cpu,32x_60s_mpi_n4_ppn1_ont32,mpiexec.hydra -n 4 -ppn 1 env OMP_NUM_THREADS=32 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0015146732330322, hpcg_cpu01-02-2022_15:05:45.628007_out.txt,hpcg_cpu01-02-2022_15:05:45.628007_arch.txt,52.594529
