TAG,EXEC_TIME,PERFORMANCE,POWER
128.128.128x_8n_1ppn_1ont_p210,113.51247389316559,20.397338400000002,273.38914572864326
128.128.128x_8n_1ppn_2ont_p210,106.13800480365754,33.2589655,324.39249246231157
128.128.128x_8n_ssocket_1ont_p110,133.13404893875122,16.8238828,169.361984
128.128.128x_8n_ssocket_2ont_p110,113.64950141906738,24.3952528,206.67828140703517
128.128.64x_16n_ssocket_1ont_p110,106.85918474197388,24.008236399999998,209.3104120603015
128.128.64x_16n_ssocket_2ont_p110,103.06574997901916,28.7100886,248.38685427135678
128.64.64x_32n_ssocket_1ont_p110,101.0038332939148,28.2443716,248.18823115577888
128.64.64x_32n_ssocket_2ont_p110,101.13416366577148,28.6482502,248.30313567839198
128x_104n_1ppn_1ont_p220_bm2,497.2217018604279,31.823694,253.00108407079645
128x_128n_1ppn_1ont,358.23617243766785,56.730697,
128x_128n_1ppn_1ont_p220,360.0432312488556,56.479435,495.9676923076923
128x_16n_1ppn_8ont,114.22027277946472,58.810161,
128x_16n_1ppn_8ont_p220,114.04185271263124,59.269405,496.24061224489793
128x_16n_2ppn_4ont,114.73772382736206,56.901482,
128x_16n_2ppn_4ont_p220,113.23468041419984,58.002021,495.689081632653
128x_1n_1ppn_128ont_p220,83.55673933029175,42.048828,487.276875
128x_2n_2ppn_32ont,80.4355993270874,58.926895,
128x_2n_2ppn_32ont_p220,81.13199853897095,58.736738,481.666875
128x_32n_1ppn_4ont,145.67978835105896,57.069702,
128x_32n_1ppn_4ont_p220,145.8224322795868,56.803142,495.4440816326531
128x_32n_2ppn_2ont,147.11558413505554,54.919489,
128x_32n_2ppn_2ont_p220,147.56175899505615,54.835493,495.09683673469385
128x_4n_1ppn_32ont,89.3229112625122,60.504305,
128x_4n_1ppn_32ont_p220,90.48352599143982,60.042181,494.205
128x_4n_2ppn_16ont,86.61344480514526,60.015334,
128x_4n_2ppn_16ont_p220,86.42156672477722,60.006747,486.45416666666665
128x_52n_1ppn_2ont_p220_bm2,263.6638803482056,30.946098,255.38992
128x_52n_2ppn_1ont_p220_bm2,298.8568789958954,33.296924,249.4386
128x_64n_1ppn_2ont,228.73596262931824,56.142848,
128x_64n_1ppn_2ont_p220,229.2720637321472,56.084333,496.57638190954776
128x_64n_2ppn_1ont,229.07159662246704,55.48743,
128x_64n_2ppn_1ont_p220,228.9852819442749,55.367682,496.104472361809
128x_8n_1ppn_16ont,99.09544801712036,60.235052,
128x_8n_1ppn_16ont_p220,99.25727200508118,60.023228,496.6183673469388
128x_8n_2ppn_8ont,95.78871202468872,59.361392,
128x_8n_2ppn_8ont_p220,95.20784401893616,59.162985,491.7572916666667
13x_104n_1ppn_1ont_p220_bm2,62.0245943069458,21.397247,228.34958333333333
13x_52n_1ppn_2ont_p220_bm2,61.98249936103821,29.557393,233.0595833333333
13x_52n_2ppn_1ont_p220_bm2,61.46246004104614,32.323215,231.440625
13x_5n_1ppn_20ont_p220_bm2,58.976775884628296,8.695933,187.0133333333333
