power.draw [W], uuid
45.06 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
45.06 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
62.42 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.00 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.00 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.00 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.00 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.00 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.00 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.00 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.00 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.00 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.00 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.48 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.48 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.00 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.48 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.48 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.48 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.48 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.48 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.48 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.48 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.48 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.48 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.48 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.48 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.48 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.48 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.48 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.48 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.96 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.48 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.48 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.48 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.48 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.96 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.96 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.96 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.96 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.96 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.96 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.96 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.96 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.96 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.96 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.96 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.96 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.96 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.96 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.96 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.96 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.96 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.96 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.96 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.96 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.96 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
74.51 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.00 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.00 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
