Running for 3600.0 seconds (7200 samples at 0.5 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
17:32:09   0.1   0.0   1.0  98.9   0.0    3   5434   3422   14    0    0  85.82 
17:32:09   0.8   0.0   1.0  98.3   0.0    2  39432   8758   29   16    0  89.73 
17:32:10   0.1   0.0   1.1  98.9   0.0    2  38604   2766    0    0    0  87.23 
17:32:10   0.0   0.0   1.3  98.7   0.0    3  22366   5392   11    0    0  88.36 
17:32:11   0.0   0.0   1.1  98.9   0.0    2  16512   5230    5    0    0  87.68 
17:32:11   0.8   0.0   1.4  97.8   0.0    4  32602   5532    8    8    8  95.05 
17:32:12   3.8   0.0   2.2  94.0   0.0   10  10060   4104    0    0    0 104.95 
17:32:12  37.7   0.0   3.5  58.8   0.0    9  26084  12670   96    0    0 144.87 
17:32:13   3.1   0.0   5.2  91.7   0.0   22   1502   3040    0    0    0 112.94 
17:32:13  60.9   0.0  14.4  24.7   0.0  106   6816  20870    0    0    0 184.62 
17:32:14  99.1   0.0   0.9   0.0   0.0  105   1510  26958    0    0    0 193.57 
17:32:14  89.4   0.0   1.2   9.4   0.0   62   1806  24680    0    0    0 188.27 
17:32:15  62.3   0.0   0.7  37.1   0.0    9   3506  19966    0    0    0 163.08 
17:32:15  22.1   0.0   2.7  75.2   0.0  105   6004   7692    0    0    0 137.12 
17:32:16  29.5   0.0   1.0  69.5   0.0    9   3416  11348    0    0    0 141.70 
17:32:16  27.3   0.0   1.2  71.5   0.0    9   2716   8410    0    0    0 139.23 
17:32:17  22.5   0.0   1.2  76.3   0.0    9   2268   6908    0    0    0 134.74 
17:32:17  39.8   0.0   1.3  58.9   0.0   90   3510  11652    0    0    0 154.96 
17:32:18  26.8   0.0   0.3  73.0   0.0    9   3018   8482    0    0    0 137.63 
17:32:18  19.4   0.0   0.3  80.4   0.0  105   2500   6578    0    0    0 129.52 
17:32:19  42.7   0.0   0.4  56.8   0.0    9   3502  12680    0    0    0 157.86 
17:32:19  27.9   0.0   0.5  71.6   0.0    9   2986   8292    0    0    0 138.01 
17:32:20  27.1   0.0   0.9  72.1   0.0  106   2350   7984    0    0    0 141.74 
17:32:20  36.5   0.0   1.0  62.5   0.0    9   3416  10624    0    0    0 149.35 
17:32:21  26.5   0.0   0.8  72.7   0.0    9   2930   7970    0    0    0 137.61 
17:32:21  22.7   0.0   1.1  76.2   0.0    9   3006   7040    0    0    0 136.24 
17:32:22  39.6   0.0   0.4  60.0   0.0    9   3316  12198    0    0    0 153.93 
17:32:22  27.2   0.0   0.3  72.5   0.0    9   2876   8588    0    0    0 138.78 
17:32:23  40.4   0.0   0.3  59.3   0.0    9   3288  11700    0    0    0 154.49 
17:32:23  20.2   0.0   0.3  79.5   0.0    9   2218   5992    0    0    0 133.27 
17:32:24  42.6   0.0   0.8  56.5   0.0  106   3180  12098    0    0    0 156.73 
17:32:24  29.2   0.0   0.7  70.1   0.0   10   2728   8578    0    0    0 140.70 
17:32:25  22.6   0.0   0.8  76.7   0.0   10   2118   6746    0    0    0 134.52 
17:32:25  30.5   0.0   1.0  68.5   0.0    9   3356   8990    0    0    0 140.98 
17:32:26  30.7   0.0   0.7  68.6   0.0    9   2048   8954    0    0    0 141.51 
17:32:26  35.8   0.0   0.4  63.8   0.0    9   2938  10962    0    0    0 145.38 
17:32:27  25.9   0.0   0.3  73.8   0.0   10   2368   8168    0    0    0 138.92 
17:32:27  31.5   0.0   0.4  68.1   0.0   10   2676   9020    0    0    0 145.24 
17:32:28  29.5   0.0   0.3  70.2   0.0    9   2812   8462    0    0    0 142.25 
17:32:28  31.8   0.0   0.5  67.6   0.0  105   3290   9094    0    0    0 145.88 
17:32:29  34.7   0.0   0.7  64.5   0.0    9   3190  10102    0    0    0 148.03 
17:32:29  21.2   0.0   0.3  78.5   0.0    9   2168   6348    0    0    0 134.47 
17:32:30  30.4   0.0   0.9  68.7   0.0    9   3208   9254    0    0    0 141.23 
17:32:30  43.1   0.0   1.0  55.8   0.0    9   3618  12300    0    0    0 158.02 
17:32:31  21.3   0.0   0.6  78.1   0.0    9   2144   6414    0    0    0 133.76 
17:32:31  26.6   0.0   0.4  73.0   0.0    9   2728   7748    0    0    0 135.68 
17:32:32  35.8   0.0   0.5  63.6   0.0  105   3152  11886    0    0    0 149.97 
17:32:32  28.4   0.0   0.3  71.3   0.0    9   3114   8928    0    0    0 139.21 
17:32:33  26.7   0.0   0.3  73.0   0.0    9   2710   7628    0    0    0 136.15 
17:32:33  37.2   0.0   0.4  62.4   0.0    9   3256  10526    0    0    0 151.79 
17:32:34  23.9   0.0   0.3  75.7   0.0    9   2256   7604    0    0    0 137.25 
17:32:34  38.1   0.0   0.5  61.4   0.0  105   3216  10796    0    0    0 150.51 
17:32:35  33.0   0.0   0.5  66.5   0.0    9   2944   9534    0    0    0 145.46 
17:32:35  22.4   0.0   0.3  77.2   0.0   11   2200   6738    0    0    0 134.88 
17:32:36  42.3   0.0   1.0  56.7   0.0  106   3198  11988    0    0    0 157.42 
17:32:36  28.1   0.0   0.3  71.7   0.0    9   2900   8168    0    0    0 140.28 
17:32:37  24.2   0.0   0.6  75.2   0.0  105   2616   7218    0    0    0 134.98 
17:32:37  41.7   0.0   0.7  57.6   0.0    9   3358  11838    0    0    0 156.73 
17:32:38  29.4   0.0   0.4  70.2   0.0    9   3224   8442    0    0    0 139.92 
17:32:38  22.6   0.0   0.3  77.2   0.0    9   2604   6730    0    0    0 132.62 
17:32:39  39.5   0.0   0.7  59.8   0.0    9   3292  11158    0    0    0 154.57 
17:32:39  26.3   0.0   0.3  73.3   0.0    9   2732   7738    0    0    0 136.32 
17:32:40  23.0   0.0   0.3  76.6   0.0    9   2336   6824    0    0    0 133.73 
17:32:40  36.4   0.0   0.7  62.9   0.0  105   3436  12172    0    0    0 148.78 
17:32:41  33.3   0.0   0.3  66.5   0.0    9   2876   9468    0    0    0 145.12 
17:32:41  20.8   0.0   0.5  78.7   0.0    9   2438   6432    0    0    0 131.48 
17:32:42  42.2   0.0   0.3  57.5   0.0    9   3374  12598    0    0    0 156.24 
17:32:42  27.5   0.0   0.6  72.0   0.0    9   3012   7992    0    0    0 138.52 
17:32:43  32.4   0.0   0.5  67.1   0.0  106   2396   9158    0    0    0 148.24 
17:32:43  30.7   0.0   0.6  68.7   0.0    9   2842   8954    0    0    0 141.62 
17:32:44  25.8   0.0   0.4  73.8   0.0   10   2460   7428    0    0    0 138.51 
17:32:44  38.9   0.0   0.6  60.5   0.0  105   3266  10960    0    0    0 152.40 
17:32:45  25.4   0.0   0.4  74.2   0.0    9   2546   7406    0    0    0 137.29 
17:32:45  30.6   0.0   0.5  68.9   0.0  105   3510   9108    0    0    0 142.78 
17:32:46  38.0   0.0   0.6  61.4   0.0    9   2820  10704    0    0    0 152.26 
17:32:46  19.6   0.0   0.3  80.1   0.0    9   2072   5826    0    0    0 131.35 
17:32:47  37.9   0.0   0.4  61.7   0.0  105   3120  10568    0    0    0 150.11 
17:32:47  29.8   0.0   0.4  69.9   0.0   10   2808   8338    0    0    0 140.19 
17:32:48  23.2   0.0   0.3  76.5   0.0    9   2412   7808    0    0    0 134.60 
17:32:48  41.0   0.0   0.8  58.2   0.0    9   3156  11662    0    0    0 155.41 
17:32:49  27.8   0.0   0.4  71.8   0.0    9   2720   8218    0    0    0 140.06 
17:32:49  22.9   0.0   0.5  76.6   0.0  105   2862   7720    0    0    0 133.03 
17:32:50  39.6   0.0   0.5  59.9   0.0  106   2916  11082    0    0    0 152.63 
17:32:50  29.8   0.0   0.2  70.0   0.0    9   3256   8688    0    0    0 142.42 
17:32:51  30.0   0.0   0.5  69.5   0.0    9   2350   8816    0    0    0 144.51 
17:32:51  32.4   0.0   0.3  67.3   0.0   10   3350   9924    0    0    0 142.36 
17:32:52  26.3   0.0   0.3  73.4   0.0    9   2452   7570    0    0    0 136.64 
17:32:52  22.7   0.0   0.8  76.5   0.0    9   2428   6686    0    0    0 134.60 
17:32:53  38.6   0.0   0.4  61.0   0.0    8   5122  10912    0    0    0 150.68 
17:32:53   9.6   0.0   1.2  89.1   0.0   10   8856   3860    0    0    0 109.89 
17:32:54   7.6   0.0   0.6  91.8   0.0    9   2204   2814    0    0    0 114.66 
17:32:54   7.4   0.0   0.5  92.1   0.0    9   1700   2688    0    0    0 111.46 
17:32:55   7.4   0.0   0.5  92.1   0.0   10   1346   2610    0    0    0 107.99 
17:32:55   7.4   0.0   0.5  92.1   0.0   10   1562   2620    0    0    0 107.96 
17:32:56   7.4   0.0   0.5  92.1   0.0    9   1484   2618    0    0    0 108.19 
17:32:56   7.3   0.0   0.7  92.1   0.0    9   1646   2620    0    0    0 108.12 
17:32:57   7.4   0.0   0.5  92.1   0.0    9   1480   2662    0    0    0 107.92 
17:32:57   7.3   0.0   0.6  92.1   0.0    9   1734   2764    0    0    0 108.08 
17:32:58   7.4   0.0   0.5  92.1   0.0    9   1322   2662    0    0    0 107.79 
17:32:58   7.5   0.0   0.4  92.1   0.0    9   1406   2676    0    0    0 107.93 
17:32:59   7.4   0.0   0.5  92.1   0.0    9   1492   2696    0    0    0 108.20 
17:32:59   7.4   0.0   0.5  92.1   0.0    9   1374   2702    0    0    0 107.95 
17:33:00   7.4   0.0   0.5  92.1   0.0    9   1600   2706    0    0    0 108.24 
17:33:00   7.4   0.0   0.5  92.1   0.0   10   1340   2790    0    0    0 108.22 
17:33:01   7.4   0.0   0.5  92.1   0.0    9   1612   3004    0    0    0 108.00 
17:33:01   7.5   0.0   0.5  92.1   0.0    9   1898   2826    0    0    0 108.27 
17:33:02   7.4   0.0   0.5  92.1   0.0    9   1418   2592    0    0    0 108.15 
17:33:02   7.4   0.0   0.5  92.1   0.0   10   1554   2710    0    0    0 108.32 
17:33:03   7.4   0.0   0.5  92.1   0.0   10   1272   2640    0    0    0 108.23 
17:33:03   7.4   0.0   0.5  92.1   0.0   10   1358   2660    0    0    0 107.87 
17:33:04   7.4   0.0   0.5  92.1   0.0    9   1256   2650    0    0    0 108.14 
17:33:04   7.4   0.0   0.4  92.1   0.0    9   1588   3526    0    0    0 108.21 
17:33:05   7.4   0.0   0.5  92.1   0.0    9   1524   2660    0    0    0 108.25 
17:33:05   7.4   0.0   0.5  92.1   0.0    9   1968   2808    0    0    0 108.41 
17:33:06   7.4   0.0   0.6  92.1   0.0    9   1456   2644    0    0    0 108.14 
17:33:06   7.3   0.0   0.6  92.1   0.0    9   1704   3634    0    0    0 108.24 
17:33:07   7.4   0.0   0.5  92.1   0.0    9   1446   2632    0    0    0 108.31 
17:33:07   7.3   0.0   0.6  92.1   0.0   10   1508   3424    0    0    0 108.07 
17:33:08   7.5   0.0   0.4  92.1   0.0    9   1580   3470    0    0    0 108.17 
17:33:08   7.5   0.0   0.4  92.1   0.0    9   1912   3490    0    0    0 108.24 
17:33:09   7.4   0.0   0.5  92.1   0.0    9   2382   3808    0    0    0 108.37 
17:33:09   7.4   0.0   0.5  92.1   0.0    9   2150   2950    0    0    0 108.34 
17:33:10   7.5   0.0   0.4  92.1   0.0    9   1562   3538    0    0    0 108.44 
17:33:10   7.3   0.0   0.5  92.1   0.0    9   1542   2628    0    0    0 108.21 
17:33:11   7.4   0.0   0.5  92.1   0.0   10   1892   2680    0    0    0 108.38 
17:33:11   7.4   0.0   0.5  92.1   0.0    9   1884   2700    0    0    0 108.33 
