TIMESTAMP,BENCH,TAG,CMD,EXEC_TIME,RES_FILE,ARCH_FILE,PERFORMANCE,POWER
02-02-2022_16:23:38.579085,hpcg_gpu,1g_16x_60s_12ont,mpirun -n 1 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,55.60739207267761, hpcg_gpu02-02-2022_16:23:38.579085_out.txt,hpcg_gpu02-02-2022_16:23:38.579085_arch.txt,1.9,
02-02-2022_16:25:53.948483,hpcg_gpu,1g_32x_60s_12ont,mpirun -n 1 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,57.09572410583496, hpcg_gpu02-02-2022_16:25:53.948483_out.txt,hpcg_gpu02-02-2022_16:25:53.948483_arch.txt,13.9,
02-02-2022_16:29:37.508532,hpcg_gpu,1g_64x_60s_12ont,mpirun -n 1 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,62.16491174697876, hpcg_gpu02-02-2022_16:29:37.508532_out.txt,hpcg_gpu02-02-2022_16:29:37.508532_arch.txt,68.7,
02-02-2022_16:31:36.083729,hpcg_gpu,1g_128x_60s_12ont,mpirun -n 1 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,97.33482265472412, hpcg_gpu02-02-2022_16:31:36.083729_out.txt,hpcg_gpu02-02-2022_16:31:36.083729_arch.txt,130.2,
02-02-2022_16:34:35.840850,hpcg_gpu,1g_256x_60s_12ont,mpirun -n 1 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,358.6719734668732, hpcg_gpu02-02-2022_16:34:35.840850_out.txt,hpcg_gpu02-02-2022_16:34:35.840850_arch.txt,138.4,
03-02-2022_14:39:49.193693,hpcg_gpu,bm_2g_256x_60s_52ont,mpirun -np 2 env OMP_NUM_THREADS=52 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,414.1904122829437, hpcg_gpu03-02-2022_14:39:49.193693_out.txt,hpcg_gpu03-02-2022_14:39:49.193693_arch.txt,290.8,
03-02-2022_15:30:15.209541,hpcg_gpu,bm_2g_256x_60s_52ont,mpirun -np 2 env OMP_NUM_THREADS=52 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,411.00994634628296, hpcg_gpu03-02-2022_15:30:15.209541_out.txt,hpcg_gpu03-02-2022_15:30:15.209541_arch.txt,291.1,
03-02-2022_16:13:52.481828,hpcg_gpu,bm_1g_16x_60s_104ont,mpirun -np 1 env OMP_NUM_THREADS=104 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,57.051236152648926, hpcg_gpu03-02-2022_16:13:52.481828_out.txt,hpcg_gpu03-02-2022_16:13:52.481828_arch.txt,1.9,
03-02-2022_16:14:49.936769,hpcg_gpu,bm_2g_16x_60s_52ont,mpirun -np 2 env OMP_NUM_THREADS=52 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,57.70705842971802, hpcg_gpu03-02-2022_16:14:49.936769_out.txt,hpcg_gpu03-02-2022_16:14:49.936769_arch.txt,3.4,
03-02-2022_16:15:48.044696,hpcg_gpu,bm_4g_16x_60s_26ont,mpirun -np 4 env OMP_NUM_THREADS=26 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,58.906296730041504, hpcg_gpu03-02-2022_16:15:48.044696_out.txt,hpcg_gpu03-02-2022_16:15:48.044696_arch.txt,6.0,
03-02-2022_16:16:47.356344,hpcg_gpu,bm_6g_16x_60s_17ont,mpirun -np 6 env OMP_NUM_THREADS=17 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,57.39924097061157, hpcg_gpu03-02-2022_16:16:47.356344_out.txt,hpcg_gpu03-02-2022_16:16:47.356344_arch.txt,9.0,
03-02-2022_16:17:45.161522,hpcg_gpu,bm_8g_16x_60s_13ont,mpirun -np 8 env OMP_NUM_THREADS=13 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,60.08388233184815, hpcg_gpu03-02-2022_16:17:45.161522_out.txt,hpcg_gpu03-02-2022_16:17:45.161522_arch.txt,11.7,
03-02-2022_16:27:49.554643,hpcg_gpu,bm_1g_32x_60s_104ont,mpirun -np 1 env OMP_NUM_THREADS=104 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,57.650728702545166, hpcg_gpu03-02-2022_16:27:49.554643_out.txt,hpcg_gpu03-02-2022_16:27:49.554643_arch.txt,14.0,
03-02-2022_16:28:47.607365,hpcg_gpu,bm_2g_32x_60s_52ont,mpirun -np 2 env OMP_NUM_THREADS=52 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,58.45704770088196, hpcg_gpu03-02-2022_16:28:47.607365_out.txt,hpcg_gpu03-02-2022_16:28:47.607365_arch.txt,24.8,
03-02-2022_16:29:46.472059,hpcg_gpu,bm_4g_32x_60s_26ont,mpirun -np 4 env OMP_NUM_THREADS=26 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,52.55373501777649, hpcg_gpu03-02-2022_16:29:46.472059_out.txt,hpcg_gpu03-02-2022_16:29:46.472059_arch.txt,42.2,
03-02-2022_16:30:39.426949,hpcg_gpu,bm_6g_32x_60s_17ont,mpirun -np 6 env OMP_NUM_THREADS=17 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,59.90201807022095, hpcg_gpu03-02-2022_16:30:39.426949_out.txt,hpcg_gpu03-02-2022_16:30:39.426949_arch.txt,57.7,
03-02-2022_16:31:39.732293,hpcg_gpu,bm_8g_32x_60s_13ont,mpirun -np 8 env OMP_NUM_THREADS=13 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,57.53952240943909, hpcg_gpu03-02-2022_16:31:39.732293_out.txt,hpcg_gpu03-02-2022_16:31:39.732293_arch.txt,72.9,
03-02-2022_16:36:35.641743,hpcg_gpu,bm_1g_64x_60s_104ont,mpirun -np 1 env OMP_NUM_THREADS=104 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,66.48782896995544, hpcg_gpu03-02-2022_16:36:35.641743_out.txt,hpcg_gpu03-02-2022_16:36:35.641743_arch.txt,68.3,
03-02-2022_16:37:42.528879,hpcg_gpu,bm_2g_64x_60s_52ont,mpirun -np 2 env OMP_NUM_THREADS=52 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,64.98175239562988, hpcg_gpu03-02-2022_16:37:42.528879_out.txt,hpcg_gpu03-02-2022_16:37:42.528879_arch.txt,123.8,
03-02-2022_16:38:47.913490,hpcg_gpu,bm_4g_64x_60s_26ont,mpirun -np 4 env OMP_NUM_THREADS=26 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,66.675044298172, hpcg_gpu03-02-2022_16:38:47.913490_out.txt,hpcg_gpu03-02-2022_16:38:47.913490_arch.txt,209.0,
