TAG,EXEC_TIME,PERFORMANCE,POWER
1g_128x_60s_12ont,97.33482265472412,130.2,
1g_16x_60s_12ont,55.60739207267761,1.9,
1g_256x_60s_12ont,358.6719734668732,138.4,
1g_32x_60s_12ont,57.09572410583496,13.9,
1g_64x_60s_12ont,62.16491174697876,68.7,
bm_1g_128x_60s_104ont,103.28685545921326,128.7,
bm_1g_128x_60s_104ont_gw75,103.01761817932127,128.4,269.0920462529274
bm_1g_16x_60s_104ont,57.051236152648926,1.9,
bm_1g_16x_60s_104ont_gw70,56.36929440498352,1.9,164.37855555555558
bm_1g_256.256.256x_60s_104ont_gw75,402.1512139558792,137.92000000000002,259.40967687396386
bm_1g_256x_60s_104ont,404.2433502674103,137.8,
bm_1g_256x_60s_104ont_gw75,400.4180488586426,137.7,276.14306017925736
bm_1g_32x_60s_104ont,57.650728702545166,14.0,
bm_1g_32x_60s_104ont_gw90,58.44306969642639,13.6,178.1205090311987
bm_1g_64x_60s_104ont,66.48782896995544,68.3,
bm_1g_64x_60s_104ont_gw75,64.21807432174683,67.8,219.8938393608074
bm_2g_128.256.256x_60s_52ont_gw75,236.20366668701172,284.76,438.2636293599691
bm_2g_128x_60s_52ont,105.80415225028992,263.9,
bm_2g_128x_60s_52ont_gw75,105.91788840293884,264.0,447.9692547523042
bm_2g_16x_60s_52ont,57.70705842971802,3.4,
bm_2g_16x_60s_52ont_gw70,57.30364179611206,3.4,247.87394617224885
bm_2g_256x_60s_52ont,413.4036160310109,290.9666666666667,
bm_2g_256x_60s_52ont_gw75,405.7572696208954,290.3,465.1579394235522
bm_2g_32x_60s_52ont,58.45704770088196,24.8,
bm_2g_32x_60s_52ont_gw90,58.379029750823975,24.8,272.9815104879161
bm_2g_64x_60s_52ont,64.98175239562988,123.8,
bm_2g_64x_60s_52ont_gw75,66.8476197719574,123.6,346.8196741160926
bm_4g_128.128.256x_60s_26ont_gw75,141.0989645242691,519.72,772.1864707973854
bm_4g_128x_60s_26ont,102.62368679046632,472.3,
bm_4g_128x_60s_26ont_gw75,101.37279891967772,476.2,790.1870319264311
bm_4g_16x_60s_26ont,58.906296730041504,6.0,
bm_4g_16x_60s_26ont_gw70,58.693761587142944,6.2,404.1057050492611
bm_4g_256x_60s_26ont,381.7716147899628,570.4,
bm_4g_256x_60s_26ont_gw75,362.00610876083374,571.0,793.9835223453256
bm_4g_32x_60s_26ont,52.55373501777649,42.2,
bm_4g_32x_60s_26ont_gw75,59.63988494873047,40.0,460.1288888888889
bm_4g_64x_60s_26ont,66.675044298172,209.0,
bm_4g_64x_60s_26ont_gw75,66.03922724723816,203.2,586.303116990492
bm_6g_128x_60s_17ont,104.26423811912537,680.9,
bm_6g_128x_60s_17ont_gw75,103.7518594264984,678.4,1087.482330716098
bm_6g_16x_60s_17ont,57.39924097061157,9.0,
bm_6g_16x_60s_17ont_gw70,60.55652070045471,8.1,565.1796662206364
bm_6g_256x_60s_17ont,388.52148842811584,841.7,
bm_6g_256x_60s_17ont_gw75,383.0854997634888,841.6,1186.5100871430286
bm_6g_32x_60s_17ont,59.90201807022095,57.7,
bm_6g_32x_60s_17ont_gw75,60.51455283164978,57.6,645.7859478144514
bm_6g_64x_60s_17ont,67.57700157165527,291.9,
bm_6g_64x_60s_17ont_gw75,67.61131167411804,285.1,815.4763091397849
bm_8g_128.128.128x_60s_13ont_gw75,107.92841951847076,825.1899999999999,1346.1370612779451
bm_8g_128x_60s_13ont,106.85987901687622,834.6,
bm_8g_128x_60s_13ont_gw75,107.07740306854248,844.4,1382.885121996379
bm_8g_16x_60s_13ont,60.08388233184815,11.7,
bm_8g_16x_60s_13ont_gw70,57.769468545913696,12.7,728.519580026455
bm_8g_256x_60s_13ont,400.4594373703003,1042.9,
bm_8g_256x_60s_13ont_gw75,395.0082042217255,1042.7,1376.851963659017
bm_8g_32x_60s_13ont,57.53952240943909,72.9,
bm_8g_32x_60s_13ont_gw75,63.23057675361633,72.0,836.0194536696816
bm_8g_64x_60s_13ont,68.54359841346741,342.7,
bm_8g_64x_60s_13ont_gw75,67.9860577583313,340.5,1037.1883525516348
