power.draw [W], uuid
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
40.64 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
41.61 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
41.64 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
41.61 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
41.61 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
41.61 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
75.91 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
104.30 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
52.25 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
51.77 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
51.77 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
27.11 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
27.11 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
27.11 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.69 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.22 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
40.67 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
42.09 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
41.64 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
42.09 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
42.09 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
42.09 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
109.13 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
100.02 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
51.77 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
51.77 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
51.77 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
51.77 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
51.77 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
51.77 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
51.77 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
51.77 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
51.77 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
51.77 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
44.03 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
25.18 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
25.18 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.69 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.69 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.69 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.69 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.69 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
