Benchmark,MPI_(%),MPI_Time,MPI_Comm_size,MPI_Allreduce,MPI_Cart_get,MPI_Bcast,MPI_Barrier,MPI_Cart_shift,MPI_Allgather,MPI_Finalize,MPI_Cart_rank,MPI_Scan,MPI_Comm_free,MPI_Init,MPI_Send,MPI_Alltoall,MPI_Reduce,MPI_Alltoallv,MPI_Wait,MPI_Sendrecv,MPI_Waitany,MPI_Comm_dup,MPI_Cart_create,MPI_Reduce_scatter,MPI_Comm_rank,MPI_Irecv,Processes,Size
in.chain,0.0,7.33,0.0,0.3,0.01,0.28,0.03,0.01,0.0,2.48,0.01,0.0,0.03,94.93,0.0,0.02,0.01,1.66,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,1.0,32.0
in.chain,14.21,60.94,0.0,7.86,0.0,8.67,0.03,0.0,0.0,0.86,0.0,0.0,0.0,68.02,0.95,0.0,0.0,0.01,11.85,1.7,0.0,0.0,0.05,0.0,0.0,0.01,2.0,32.0
in.chain,23.19,68.99,0.0,11.55,0.0,14.62,0.04,0.0,0.0,0.7,0.0,0.0,0.0,61.99,0.23,0.01,0.0,0.07,10.51,0.18,0.0,0.0,0.07,0.0,0.0,0.01,4.0,32.0
in.chain,23.27,77.09,0.0,6.97,0.0,16.14,0.01,0.0,0.0,0.26,0.0,0.0,0.0,63.52,0.22,0.05,0.0,1.87,8.68,2.17,0.0,0.0,0.08,0.0,0.0,0.02,8.0,32.0
in.chain,12.9,88.8,0.0,3.41,0.0,11.81,0.01,0.0,0.0,1.23,0.0,0.0,0.0,81.38,0.12,0.03,0.0,0.04,1.82,0.09,0.0,0.0,0.04,0.0,0.0,0.01,16.0,32.0
in.chain,5.96,95.79,0.0,0.79,0.0,4.98,0.0,0.0,0.0,0.17,0.0,0.0,0.0,92.07,0.06,0.01,0.0,0.57,1.0,0.33,0.0,0.0,0.02,0.0,0.0,0.0,32.0,32.0
in.chain,5.02,96.23,0.0,1.66,0.0,3.03,0.01,0.0,0.0,0.3,0.0,0.0,0.0,93.19,0.08,0.65,0.0,0.2,0.75,0.08,0.0,0.0,0.03,0.0,0.0,0.0,64.0,32.0
in.chain,0.0,1.03,0.0,1.72,0.01,1.02,0.05,0.01,0.0,8.61,0.01,0.0,0.03,85.2,0.0,0.03,0.03,3.03,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,256.0
in.chain,20.63,33.93,0.0,31.83,0.0,2.96,0.06,0.0,0.0,0.39,0.0,0.0,0.0,29.79,0.86,0.03,0.0,0.01,25.74,8.27,0.0,0.0,0.06,0.0,0.0,0.01,2.0,256.0
in.chain,32.18,47.73,0.0,28.75,0.0,6.19,1.33,0.0,0.0,0.08,0.0,0.0,0.0,25.31,2.05,0.45,0.0,0.5,28.31,7.0,0.0,0.0,0.02,0.0,0.0,0.01,4.0,256.0
in.chain,31.62,61.69,0.0,32.85,0.0,8.62,0.86,0.0,0.0,0.1,0.0,0.0,0.0,41.58,0.24,0.03,0.01,0.04,12.84,2.78,0.0,0.0,0.04,0.0,0.0,0.01,8.0,256.0
in.chain,25.64,71.88,0.0,20.46,0.0,8.52,0.02,0.0,0.0,1.31,0.0,0.0,0.0,58.63,0.24,0.02,0.0,1.12,8.02,1.57,0.0,0.0,0.08,0.0,0.0,0.01,16.0,256.0
in.chain,16.72,85.7,0.0,6.82,0.0,8.45,0.01,0.0,0.0,0.23,0.0,0.0,0.0,76.81,0.17,0.03,0.0,0.18,5.13,2.11,0.0,0.0,0.06,0.0,0.0,0.01,32.0,256.0
in.chain,8.03,93.16,0.0,4.55,0.0,2.34,0.02,0.0,0.0,0.3,0.0,0.0,0.0,89.0,0.1,0.22,0.0,1.1,1.59,0.73,0.0,0.0,0.04,0.0,0.0,0.01,64.0,256.0
in.chain,0.0,0.3,0.0,1.85,0.01,1.0,0.06,0.01,0.0,8.53,0.0,0.0,0.03,83.7,0.0,0.04,0.03,4.47,0.0,0.0,0.0,0.0,0.25,0.0,0.01,0.0,1.0,864.0
in.chain,23.47,27.19,0.0,42.17,0.0,0.7,0.12,0.0,0.0,0.02,0.0,0.0,0.0,11.02,0.28,0.16,0.09,0.01,30.47,14.82,0.0,0.0,0.13,0.0,0.0,0.01,2.0,864.0
