/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220531/hwmetrics/results.instance-20220530-1006,2.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;2.682005
1;SP GFLOPS;0.262762
1;DP GFLOPS;0.023312
1;x87 GFLOPS;0.0
1;IPC;1.427745
1;Average CPU Frequency;3176688811.989157
1;Total Thread Count;
1;CPU Time;1.082024
0;Effective Physical Core Utilization;0.7% (0.427 out of 64)
1;Effective Logical Core Utilization;0.3% (0.403 out of 128)
0;Memory Bound;9.9
1;Cache Bound;10.1
1;DRAM Bound;0.3
1;NUMA: % of Remote Accesses;42.1
0;Vectorization;46.3
1;Instruction Mix;
2;SP FLOPs;1.9
3;Packed;61.8
4;128-bit;5.5
4;256-bit;53.4
4;512-bit;2.9
3;Scalar;38.2
2;DP FLOPs;0.7
3;Packed;4.1
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;4.1
3;Scalar;95.9
2;x87 FLOPs;0.0
2;Non-FP;97.4
1;FP Arith/Mem Rd Instr. Ratio;0.087099
1;FP Arith/Mem Wr Instr. Ratio;0.151323
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.chain" "-pk" "intel" "0" "omp" "1" "mode" "single" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;2
1;Computer Name;instance-20220530-1006
1;Result Size;3304464
1;Collection start time;15:03:21 31/05/2022 UTC
1;Collection stop time;15:03:24 31/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593983999
2;Logical CPU Count;128
