/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,3.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;1.719799
1;SP GFLOPS;0.295420
1;DP GFLOPS;0.035680
1;x87 GFLOPS;0.0
1;IPC;1.831149
1;Average CPU Frequency;2343319924.606983
1;Total Thread Count;
1;CPU Time;0.498351
0;Effective Physical Core Utilization;0.5% (0.328 out of 64)
1;Effective Logical Core Utilization;0.2% (0.290 out of 128)
0;Memory Bound;12.8
1;Cache Bound;12.6
1;DRAM Bound;1.2
1;NUMA: % of Remote Accesses;1.0
0;Vectorization;48.6
1;Instruction Mix;
2;SP FLOPs;4.3
3;Packed;68.5
4;128-bit;5.2
4;256-bit;55.0
4;512-bit;8.3
3;Scalar;31.5
2;DP FLOPs;2.1
3;Packed;7.8
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;7.8
3;Scalar;92.2
2;x87 FLOPs;0.0
2;Non-FP;93.6
1;FP Arith/Mem Rd Instr. Ratio;0.289683
1;FP Arith/Mem Wr Instr. Ratio;0.694821
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.chain.scaled" "-pk" "intel" "0" "omp" "1" "mode" "single" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;4
1;Computer Name;instance-20220601-1914
1;Result Size;3286199
1;Collection start time;23:14:55 01/06/2022 UTC
1;Collection stop time;23:14:57 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979052
2;Logical CPU Count;128
