Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:01:00
Number of ranks;2
Ranks per node;2
OpenMP threads number, per Rank;1
Used statistics;./in.chain.scaled.timer_2n_1ont_2048k_aps
Elapsed Time, s;2.21
MPI Time, s;0.79
MPI Time, % of Elapsed Time;39.72
MPI Imbalance, s;0.02
MPI Imbalance, % of Elapsed Time;1.13

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.75
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;42.53
MPI Hotspot 2 - MPI_Bcast, s;0.02
MPI Hotspot 2 - MPI_Bcast, % of Elapsed Time;1.33
MPI Hotspot 3 - MPI_Sendrecv, s;0.01
MPI Hotspot 3 - MPI_Sendrecv, % of Elapsed Time;0.35
MPI Hotspot 4 - MPI_Alltoallv, s;0.00
MPI Hotspot 4 - MPI_Alltoallv, % of Elapsed Time;0.20
MPI Hotspot 5 - MPI_Allreduce, s;0.00
MPI Hotspot 5 - MPI_Allreduce, % of Elapsed Time;0.18
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         1459.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;         1459.00
Per rank
Peak resident set size,MB;          730.00
Peak resident set rank;0
Average resident set size,MB;          729.50
Virtual
Per node
Peak memory consumption,MB;         7264.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;         7264.00
Per rank
Peak memory consumption,MB;         3633.00
Peak memory consumption rank;0
Average memory consumption,MB;         3632.00
