Intel(R) VTune(TM) Amplifier summary
Number of nodes;1

/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220519/hwmetrics/results.instance-20220519-1049,s.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;2.142158
1;SP GFLOPS;6.021942
1;DP GFLOPS;3.358729
1;x87 GFLOPS;0.0
1;IPC;1.223714
1;Average CPU Frequency;1878399738.258903
1;Total Thread Count;
1;CPU Time;16.830849
0;Effective Physical Core Utilization;12.0% (7.688 out of 64)
1;Effective Logical Core Utilization;6.1% (7.857 out of 128)
0;Memory Bound;19.1
1;Cache Bound;20.2
1;DRAM Bound;3.9
2;DRAM Bandwidth Bound;0.0
1;NUMA: % of Remote Accesses;2.4
1;Bandwidth Utilization;
1;Bandwidth Domain;Platform Maximum;Observed Maximum;Average;% of Elapsed Time with High BW Utilization(%)
1;DRAM, GB/sec;50.000000;31.364500;3.503268;0.0
1;DRAM Single-Package, GB/sec;25.000000;15.997700;1.941176;0.0
1;UPI Outgoing, GB/sec;[Unknown];4.232340;0.745098;100.0
0;Vectorization;39.6
1;Instruction Mix;
2;SP FLOPs;3.3
3;Packed;50.1
4;128-bit;0.0
4;256-bit;3.1
4;512-bit;47.1
3;Scalar;49.9
2;DP FLOPs;4.7
3;Packed;32.1
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;32.1
3;Scalar;67.9
2;x87 FLOPs;0.0
2;Non-FP;92.0
1;FP Arith/Mem Rd Instr. Ratio;0.309909
1;FP Arith/Mem Wr Instr. Ratio;0.756312
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.chain.scaled.timer" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1027-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;Computer Name;instance-20220519-1049
1;Result Size;6095179
1;Collection start time;13:57:27 19/05/2022 UTC
1;Collection stop time;13:57:29 19/05/2022 UTC
1;Collector Type;Driverless Perf system-wide counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593987272
2;Logical CPU Count;128
