Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-31 16:22:53
OpenMP threads number, per Process;1
Used statistics;./in.chain.scaled_2048-double_1n_1ont_2048k_aps
Elapsed Time, s;4.37
MPI Time, s;0.05
MPI Time, % of Elapsed Time;1.24
MPI Imbalance;                            N/A*

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.05
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;1.10
MPI Hotspot 2 - MPI_Alltoallv, s;0.01
MPI Hotspot 2 - MPI_Alltoallv, % of Elapsed Time;0.12
MPI Hotspot 3 - MPI_Allreduce, s;0.00
MPI Hotspot 3 - MPI_Allreduce, % of Elapsed Time;0.01
MPI Hotspot 4 - MPI_Bcast, s;0.00
MPI Hotspot 4 - MPI_Bcast, % of Elapsed Time;0.00
MPI Hotspot 5 - MPI_Cart_create, s;0.00
MPI Hotspot 5 - MPI_Cart_create, % of Elapsed Time;0.00
Disk I/O Bound, s;0.00
Memory Footprint
Resident,MB;        964.00
Virtual,MB;       2196.00
| Counters, Memory and Disk usage statistics for all Ranks
Elapsed Time, s
  MIN;            4.37 ;Rank 0
  MAX;            4.37 ;Rank 0
  AVG;            4.37 ;

MPI Time, s
Total;            0.05 ;all ranks
  MIN;            0.05 ;Rank 0
  MAX;            0.05 ;Rank 0
  AVG;            0.05 ;

MPI Time, % of Elapsed Time
  MIN;            1.24 ;Rank 0
  MAX;            1.24 ;Rank 0
  AVG;            1.24 ;

MPI Imbalance, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 1 - MPI_Init, s
Total;            0.05 ;all ranks
  MIN;            0.05 ;Rank 0
  MAX;            0.05 ;Rank 0
  AVG;            0.05 ;

MPI Hotspot 1 - MPI_Init, % of Elapsed Time
  MIN;            1.10 ;Rank 0
  MAX;            1.10 ;Rank 0
  AVG;            1.10 ;

MPI Hotspot 2 - MPI_Alltoallv, s
Total;            0.01 ;all ranks
  MIN;            0.01 ;Rank 0
  MAX;            0.01 ;Rank 0
  AVG;            0.01 ;

MPI Hotspot 2 - MPI_Alltoallv, % of Elapsed Time
  MIN;            0.12 ;Rank 0
  MAX;            0.12 ;Rank 0
  AVG;            0.12 ;

MPI Hotspot 3 - MPI_Allreduce, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 3 - MPI_Allreduce, % of Elapsed Time
  MIN;            0.01 ;Rank 0
  MAX;            0.01 ;Rank 0
  AVG;            0.01 ;

MPI Hotspot 4 - MPI_Bcast, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 4 - MPI_Bcast, % of Elapsed Time
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 5 - MPI_Cart_create, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 5 - MPI_Cart_create, % of Elapsed Time
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

OpenMP threads number, per Process
  MIN;            1.00 ;Rank 0
  MAX;            1.00 ;Rank 0
  AVG;            1.00 ;

Disk I/O Bound, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

Resident Memory Usage per Rank, MB
Total;          964.00 ;all ranks
  MIN;          964.00 ;Rank 0
  MAX;          964.00 ;Rank 0
  AVG;          964.00 ;

Resident Memory Usage per Node, MB
Total;          964.00 ;all nodes
  MIN;          964.00 ;Node instance-20220530-1006
  MAX;          964.00 ;Node instance-20220530-1006
  AVG;          964.00 ;

Virtual Memory Usage per Rank, MB
Total;         2196.00 ;all ranks
  MIN;         2196.00 ;Rank 0
  MAX;         2196.00 ;Rank 0
  AVG;         2196.00 ;

Virtual Memory Usage per Node, MB
Total;         2196.00 ;all nodes
  MIN;         2196.00 ;Node instance-20220530-1006
  MAX;         2196.00 ;Node instance-20220530-1006
  AVG;         2196.00 ;

| MPI Time per Rank for all Ranks
