/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,55.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;3.849501
1;SP GFLOPS;0.470119
1;DP GFLOPS;0.058036
1;x87 GFLOPS;0.0
1;IPC;1.121295
1;Average CPU Frequency;3183565839.372550
1;Total Thread Count;
1;CPU Time;1.559981
0;Effective Physical Core Utilization;0.7% (0.421 out of 64)
1;Effective Logical Core Utilization;0.3% (0.405 out of 128)
0;Memory Bound;31.8
1;Cache Bound;14.4
1;DRAM Bound;16.1
1;NUMA: % of Remote Accesses;1.2
0;Vectorization;47.4
1;Instruction Mix;
2;SP FLOPs;4.7
3;Packed;64.6
4;128-bit;3.9
4;256-bit;53.2
4;512-bit;7.4
3;Scalar;35.4
2;DP FLOPs;2.1
3;Packed;9.2
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;9.2
3;Scalar;90.8
2;x87 FLOPs;0.0
2;Non-FP;93.2
1;FP Arith/Mem Rd Instr. Ratio;0.249063
1;FP Arith/Mem Wr Instr. Ratio;0.600110
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.chain.scaled_2048" "-pk" "intel" "0" "omp" "1" "mode" "single" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;3
1;Computer Name;instance-20220601-1914
1;Result Size;3286244
1;Collection start time;23:21:10 01/06/2022 UTC
1;Collection stop time;23:21:14 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979083
2;Logical CPU Count;128
