Intel(R) VTune(TM) Amplifier summary
Number of nodes;1

/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220519/hwmetrics/results.instance-20220519-1049,s.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;1.640627
1;SP GFLOPS;1.197456
1;DP GFLOPS;0.606113
1;x87 GFLOPS;0.0
1;IPC;0.862630
1;Average CPU Frequency;1311242556.814358
1;Total Thread Count;
1;CPU Time;7.352165
0;Effective Physical Core Utilization;5.6% (3.612 out of 64)
1;Effective Logical Core Utilization;3.5% (4.481 out of 128)
0;Memory Bound;21.5
1;Cache Bound;23.4
1;DRAM Bound;4.9
2;DRAM Bandwidth Bound;0.0
1;NUMA: % of Remote Accesses;8.1
1;Bandwidth Utilization;
1;Bandwidth Domain;Platform Maximum;Observed Maximum;Average;% of Elapsed Time with High BW Utilization(%)
1;DRAM, GB/sec;50.000000;7.823000;1.024390;0.0
1;DRAM Single-Package, GB/sec;25.000000;4.057100;0.626016;0.0
1;UPI Outgoing, GB/sec;[Unknown];2.281910;0.609756;100.0
0;Vectorization;44.3
1;Instruction Mix;
2;SP FLOPs;1.8
3;Packed;56.2
4;128-bit;0.0
4;256-bit;4.2
4;512-bit;52.0
3;Scalar;43.8
2;DP FLOPs;2.4
3;Packed;35.3
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;35.3
3;Scalar;64.7
2;x87 FLOPs;0.0
2;Non-FP;95.7
1;FP Arith/Mem Rd Instr. Ratio;0.206964
1;FP Arith/Mem Wr Instr. Ratio;0.397762
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.chain.timer" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1027-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;Computer Name;instance-20220519-1049
1;Result Size;6092212
1;Collection start time;13:46:49 19/05/2022 UTC
1;Collection stop time;13:46:50 19/05/2022 UTC
1;Collector Type;Driverless Perf system-wide counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593987267
2;Logical CPU Count;128
