Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 13:47:34
Number of ranks;64
Ranks per node;64
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987158
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.chain.timer_64n_1ont_32k_aps
Elapsed Time, s;3.65
SP GFLOPS;1.13
DP GFLOPS;0.70
Average CPU Frequency, GHz;                      1.66
Instructions Per Cycle Rate;1.26
MPI Time, s;2.66
MPI Time, % of Elapsed Time;72.81
MPI Imbalance, s;0.04
MPI Imbalance, % of Elapsed Time;1.12

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;2.57
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;70.43
MPI Hotspot 2 - MPI_Bcast, s;0.03
MPI Hotspot 2 - MPI_Bcast, % of Elapsed Time;0.84
MPI Hotspot 3 - MPI_Allreduce, s;0.02
MPI Hotspot 3 - MPI_Allreduce, % of Elapsed Time;0.42
MPI Hotspot 4 - MPI_Finalize, s;0.01
MPI Hotspot 4 - MPI_Finalize, % of Elapsed Time;0.33
MPI Hotspot 5 - MPI_Wait, s;0.01
MPI Hotspot 5 - MPI_Wait, % of Elapsed Time;0.25
Memory Stalls, % of Pipeline Slots;19.00
Cache Stalls, % of Cycles;21.20
DRAM Stalls, % of Cycles;6.40
DRAM Bandwidth Peak, GB/s;196.75
DRAM Bandwidth Average, GB/s;3.77
DRAM Bandwidth Bound, %;3.20
NUMA, % of Remote Accesses;2.90
Vectorization, %;36.00
SP FLOPs, % of uOps;0.60
Packed, % from SP FP;49.80
SP 128-bit, %;0.00
SP 256-bit, %;2.20
SP 512-bit, %;47.60
SP Scalar, % from SP FP;50.20
DP FLOPs, % of uOps;1.00
DP Packed, % from DP FP;28.00
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;28.00
DP Scalar, % from DP FP;72.00
Non-FP, % of uOps;98.40
FP Arith/Mem Rd Instr. Ratio;0.07
FP Arith/Mem Wr Instr. Ratio;0.14
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         8253.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;         8253.00
Per rank
Peak resident set size,MB;          135.00
Peak resident set rank;60
Average resident set size,MB;          128.95
Virtual
Per node
Peak memory consumption,MB;       650184.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;       650184.00
Per rank
Peak memory consumption,MB;        10162.00
Peak memory consumption rank;55
Average memory consumption,MB;        10159.12
