Intel(R) VTune(TM) Amplifier summary
Number of nodes;1

/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220526/hwmetrics/results.instance-20220526-1048,0.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;0.921205
1;SP GFLOPS;1.834559
1;DP GFLOPS;0.935675
1;x87 GFLOPS;0.0
1;IPC;1.628746
1;Average CPU Frequency;3038448592.974801
1;Total Thread Count;
1;CPU Time;0.862184
0;Effective Physical Core Utilization;1.6% (1.029 out of 64)
1;Effective Logical Core Utilization;0.7% (0.936 out of 128)
0;Memory Bound;15.1
1;Cache Bound;15.3
1;DRAM Bound;0.6
1;NUMA: % of Remote Accesses;53.6
0;Vectorization;39.7
1;Instruction Mix;
2;SP FLOPs;4.6
3;Packed;48.6
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;48.6
3;Scalar;51.4
2;DP FLOPs;5.9
3;Packed;32.8
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;32.8
3;Scalar;67.2
2;x87 FLOPs;0.0
2;Non-FP;89.5
1;FP Arith/Mem Rd Instr. Ratio;0.403156
1;FP Arith/Mem Wr Instr. Ratio;1.037637
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.chain" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;Computer Name;instance-20220526-1048
1;Result Size;3304460
1;Collection start time;17:30:00 26/05/2022 UTC
1;Collection stop time;17:30:01 26/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593975869
2;Logical CPU Count;128
