/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,33.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;2.760647
1;SP GFLOPS;0.0
1;DP GFLOPS;0.092293
1;x87 GFLOPS;0.0
1;IPC;1.232398
1;Average CPU Frequency;2792385885.094599
1;Total Thread Count;
1;CPU Time;0.412463
0;Effective Physical Core Utilization;0.3% (0.180 out of 64)
1;Effective Logical Core Utilization;0.1% (0.149 out of 128)
0;Memory Bound;23.0
1;Cache Bound;19.9
1;DRAM Bound;5.6
1;NUMA: % of Remote Accesses;1.2
0;Vectorization;0.5
1;Instruction Mix;
2;SP FLOPs;0.0
3;Packed;0.0
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;0.0
3;Scalar;0.0
2;DP FLOPs;22.0
3;Packed;0.5
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;0.5
3;Scalar;99.5
2;x87 FLOPs;0.0
2;Non-FP;78.0
1;FP Arith/Mem Rd Instr. Ratio;0.664521
1;FP Arith/Mem Wr Instr. Ratio;1.761940
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.chute.scaled_2048" "-pk" "intel" "0" "omp" "1" "mode" "double" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;15
1;Computer Name;instance-20220601-1914
1;Result Size;3286188
1;Collection start time;23:27:57 01/06/2022 UTC
1;Collection stop time;23:28:00 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979121
2;Logical CPU Count;128
