Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:38:05
Number of ranks;4
Ranks per node;4
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987269
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.chute.timer_4n_1ont_32k_aps
Elapsed Time, s;1.05
SP GFLOPS;0.00
DP GFLOPS;0.95
Average CPU Frequency, GHz;                      1.23
Instructions Per Cycle Rate;1.20
MPI Time, s;0.36
MPI Time, % of Elapsed Time;34.72
MPI Imbalance, s;0.05
MPI Imbalance, % of Elapsed Time;4.62

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.31
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;29.25
MPI Hotspot 2 - MPI_Bcast, s;0.04
MPI Hotspot 2 - MPI_Bcast, % of Elapsed Time;4.00
MPI Hotspot 3 - MPI_Allreduce, s;0.01
MPI Hotspot 3 - MPI_Allreduce, % of Elapsed Time;0.56
MPI Hotspot 4 - MPI_Wait, s;0.00
MPI Hotspot 4 - MPI_Wait, % of Elapsed Time;0.37
MPI Hotspot 5 - MPI_Finalize, s;0.00
MPI Hotspot 5 - MPI_Finalize, % of Elapsed Time;0.20
Memory Stalls, % of Pipeline Slots;7.30
Cache Stalls, % of Cycles;17.60
DRAM Stalls, % of Cycles;2.00
DRAM Bandwidth Peak, GB/s;19.07
DRAM Bandwidth Average, GB/s;1.02
DRAM Bandwidth Bound, %;0.00
NUMA, % of Remote Accesses;11.10
Vectorization, %;0.70
SP FLOPs, % of uOps;0.00
DP FLOPs, % of uOps;15.70
DP Packed, % from DP FP;0.70
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;0.70
DP Scalar, % from DP FP;99.30
Non-FP, % of uOps;84.30
FP Arith/Mem Rd Instr. Ratio;0.62
FP Arith/Mem Wr Instr. Ratio;1.31
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;          513.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;          513.00
Per rank
Peak resident set size,MB;          131.00
Peak resident set rank;0
Average resident set size,MB;          128.25
Virtual
Per node
Peak memory consumption,MB;        11570.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;        11570.00
Per rank
Peak memory consumption,MB;         2894.00
Peak memory consumption rank;2
Average memory consumption,MB;         2892.50
