Intel(R) VTune(TM) Amplifier summary
Number of nodes;1

/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220519/hwmetrics/results.instance-20220519-1049,s.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;1.098883
1;SP GFLOPS;0.0
1;DP GFLOPS;0.004046
1;x87 GFLOPS;0.000000
1;IPC;1.283738
1;Average CPU Frequency;1330577369.113277
1;Total Thread Count;
1;CPU Time;5.905847
0;Effective Physical Core Utilization;7.9% (5.048 out of 64)
1;Effective Logical Core Utilization;4.2% (5.374 out of 128)
0;Memory Bound;12.4
1;Cache Bound;17.7
1;DRAM Bound;1.7
2;DRAM Bandwidth Bound;1.1
1;NUMA: % of Remote Accesses;6.3
1;Bandwidth Utilization;
1;Bandwidth Domain;Platform Maximum;Observed Maximum;Average;% of Elapsed Time with High BW Utilization(%)
1;DRAM, GB/sec;50.000000;40.460300;1.844444;1.1
1;DRAM Single-Package, GB/sec;25.000000;20.389300;1.055556;1.1
1;UPI Outgoing, GB/sec;[Unknown];4.614590;0.477778;100.0
0;Vectorization;0.7
1;Instruction Mix;
2;SP FLOPs;0.0
3;Packed;0.0
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;0.0
3;Scalar;0.0
2;DP FLOPs;0.0
3;Packed;0.7
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;0.7
3;Scalar;99.3
2;x87 FLOPs;0.0
2;Non-FP;100.0
1;FP Arith/Mem Rd Instr. Ratio;0.001876
1;FP Arith/Mem Wr Instr. Ratio;0.003414
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.chute.timer" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1027-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;6
1;Computer Name;instance-20220519-1049
1;Result Size;6076710
1;Collection start time;14:38:12 19/05/2022 UTC
1;Collection stop time;14:38:13 19/05/2022 UTC
1;Collector Type;Driverless Perf system-wide counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593987245
2;Logical CPU Count;128
