Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-07-03 19:10:53
OpenMP threads number, per Process;1
Used statistics;./in.eam-long.scaled_2048_1n_1ont_2048k_aps
Elapsed Time, s;1.45
MPI Time, s;0.32
MPI Time, % of Elapsed Time;21.83
MPI Imbalance;                            N/A*

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.32
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;21.81
MPI Hotspot 2 - MPI_Bcast, s;0.00
MPI Hotspot 2 - MPI_Bcast, % of Elapsed Time;0.01
MPI Hotspot 3 - MPI_Cart_create, s;0.00
MPI Hotspot 3 - MPI_Cart_create, % of Elapsed Time;0.01
MPI Hotspot 4 - MPI_Allreduce, s;0.00
MPI Hotspot 4 - MPI_Allreduce, % of Elapsed Time;0.00
MPI Hotspot 5 - MPI_Cart_rank, s;0.00
MPI Hotspot 5 - MPI_Cart_rank, % of Elapsed Time;0.00
Disk I/O Bound, s;0.00
Memory Footprint
Resident,MB;        660.00
Virtual,MB;       1883.00
| Counters, Memory and Disk usage statistics for all Ranks
Elapsed Time, s
  MIN;            1.45 ;Rank 0
  MAX;            1.45 ;Rank 0
  AVG;            1.45 ;

MPI Time, s
Total;            0.32 ;all ranks
  MIN;            0.32 ;Rank 0
  MAX;            0.32 ;Rank 0
  AVG;            0.32 ;

MPI Time, % of Elapsed Time
  MIN;           21.83 ;Rank 0
  MAX;           21.83 ;Rank 0
  AVG;           21.83 ;

MPI Imbalance, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 1 - MPI_Init, s
Total;            0.32 ;all ranks
  MIN;            0.32 ;Rank 0
  MAX;            0.32 ;Rank 0
  AVG;            0.32 ;

MPI Hotspot 1 - MPI_Init, % of Elapsed Time
  MIN;           21.81 ;Rank 0
  MAX;           21.81 ;Rank 0
  AVG;           21.81 ;

MPI Hotspot 2 - MPI_Bcast, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 2 - MPI_Bcast, % of Elapsed Time
  MIN;            0.01 ;Rank 0
  MAX;            0.01 ;Rank 0
  AVG;            0.01 ;

MPI Hotspot 3 - MPI_Cart_create, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 3 - MPI_Cart_create, % of Elapsed Time
  MIN;            0.01 ;Rank 0
  MAX;            0.01 ;Rank 0
  AVG;            0.01 ;

MPI Hotspot 4 - MPI_Allreduce, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 4 - MPI_Allreduce, % of Elapsed Time
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 5 - MPI_Cart_rank, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 5 - MPI_Cart_rank, % of Elapsed Time
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

OpenMP threads number, per Process
  MIN;            1.00 ;Rank 0
  MAX;            1.00 ;Rank 0
  AVG;            1.00 ;

Disk I/O Bound, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

Resident Memory Usage per Rank, MB
Total;          660.00 ;all ranks
  MIN;          660.00 ;Rank 0
  MAX;          660.00 ;Rank 0
  AVG;          660.00 ;

Resident Memory Usage per Node, MB
Total;          660.00 ;all nodes
  MIN;          660.00 ;Node instance-20220703-1452
  MAX;          660.00 ;Node instance-20220703-1452
  AVG;          660.00 ;

Virtual Memory Usage per Rank, MB
Total;         1883.00 ;all ranks
  MIN;         1883.00 ;Rank 0
  MAX;         1883.00 ;Rank 0
  AVG;         1883.00 ;

Virtual Memory Usage per Node, MB
Total;         1883.00 ;all nodes
  MIN;         1883.00 ;Node instance-20220703-1452
  MAX;         1883.00 ;Node instance-20220703-1452
  AVG;         1883.00 ;

| MPI Time per Rank for all Ranks
Rank;Elapsed Time(sec);    MPI;Time(sec);    MPI;Time(%);Imbalance(sec);Imbalance(%)
  0000 ;            1.45;            0.32;          21.83;            0.00;           0.00
| TOTAL;            1.45;            0.32;          21.83;            0.00;           0.00
| AVG  ;            1.45;            0.32;          21.83;            0.00;           0.00

| Number of ranks = 1

|#########################################################
| RANK 0
|#########################################################
Elapsed Time;1.45;sec
MPI Time;0.32;sec;21.83%
MPI Imbalance;0.00;sec;0.00%

Function;Time(sec);Time(%);Volume(MB);Volume(%);Calls;AvrMsgSize(B)
            MPI_Init;            0.32;           21.81;             N/A;             N/A;               1;             N/A
           MPI_Bcast;            0.00;            0.01;             N/A;             N/A;              74;             N/A
     MPI_Cart_create;            0.00;            0.01;             N/A;             N/A;               1;             N/A
       MPI_Allreduce;            0.00;            0.00;             N/A;             N/A;              14;             N/A
       MPI_Cart_rank;            0.00;            0.00;             N/A;             N/A;               1;             N/A
         MPI_Barrier;            0.00;            0.00;             N/A;             N/A;               2;             N/A
            MPI_Scan;            0.00;            0.00;             N/A;             N/A;               1;             N/A
       MPI_Comm_free;            0.00;            0.00;             N/A;             N/A;               1;             N/A
      MPI_Cart_shift;            0.00;            0.00;             N/A;             N/A;               3;             N/A
        MPI_Cart_get;            0.00;            0.00;             N/A;             N/A;               1;             N/A
       MPI_Comm_rank;            0.00;            0.00;             N/A;             N/A;               9;             N/A
       MPI_Comm_size;            0.00;            0.00;             N/A;             N/A;               4;             N/A
       MPI_Type_size;            0.00;            0.00;             N/A;             N/A;               2;             N/A
| TOTAL             ;            0.32;           21.83;             N/A;             N/A;             114;             N/A

Function;Time(sec);Time(%);Volume(MB);Volume(%);Calls;MsgSize(B)
            MPI_Init;            0.32;           21.81;             N/A;             N/A;               1             ;N/A
           MPI_Bcast;            0.00;            0.01;             N/A;             N/A;              74             ;N/A
     MPI_Cart_create;            0.00;            0.01;             N/A;             N/A;               1             ;N/A
       MPI_Allreduce;            0.00;            0.00;             N/A;             N/A;              14             ;N/A
       MPI_Cart_rank;            0.00;            0.00;             N/A;             N/A;               1             ;N/A
         MPI_Barrier;            0.00;            0.00;             N/A;             N/A;               2             ;N/A
            MPI_Scan;            0.00;            0.00;             N/A;             N/A;               1             ;N/A
       MPI_Comm_free;            0.00;            0.00;             N/A;             N/A;               1             ;N/A
      MPI_Cart_shift;            0.00;            0.00;             N/A;             N/A;               3             ;N/A
        MPI_Cart_get;            0.00;            0.00;             N/A;             N/A;               1             ;N/A
       MPI_Comm_rank;            0.00;            0.00;             N/A;             N/A;               9             ;N/A
