/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220703/hwmetrics/results.instance-20220703-1452,60.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;183.993798
1;SP GFLOPS;4.043092
1;DP GFLOPS;1.340565
1;x87 GFLOPS;0.0
1;IPC;0.798161
1;Average CPU Frequency;2986852246.237388
1;Total Thread Count;
1;CPU Time;180.617763
0;Effective Physical Core Utilization;1.5% (0.980 out of 64)
1;Effective Logical Core Utilization;0.8% (0.982 out of 128)
0;Memory Bound;40.1
1;Cache Bound;30.1
1;DRAM Bound;10.1
1;NUMA: % of Remote Accesses;0.7
0;Vectorization;93.9
1;Instruction Mix;
2;SP FLOPs;7.4
3;Packed;100.0
4;128-bit;1.1
4;256-bit;0.0
4;512-bit;98.9
3;Scalar;0.0
2;DP FLOPs;5.6
3;Packed;85.9
4;128-bit;0.0
4;256-bit;0.5
4;512-bit;85.4
3;Scalar;14.1
2;x87 FLOPs;0.0
2;Non-FP;87.0
1;FP Arith/Mem Rd Instr. Ratio;0.739180
1;FP Arith/Mem Wr Instr. Ratio;1.817574
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../bin/lmp_intel_cpu_intelmpi" "-in" "in.eam-long.scaled_2048" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.15.0-1007-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;2
1;Computer Name;instance-20220703-1452
1;Result Size;3286439
1;Collection start time;20:18:48 03/07/2022 UTC
1;Collection stop time;20:21:52 03/07/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593977880
2;Logical CPU Count;128
