/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220703/hwmetrics/results.instance-20220703-1452,29.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;24.080148
1;SP GFLOPS;3.865648
1;DP GFLOPS;1.296991
1;x87 GFLOPS;0.000000
1;IPC;0.921388
1;Average CPU Frequency;3109157293.145127
1;Total Thread Count;
1;CPU Time;21.421915
0;Effective Physical Core Utilization;1.4% (0.891 out of 64)
1;Effective Logical Core Utilization;0.7% (0.890 out of 128)
0;Memory Bound;34.7
1;Cache Bound;34.2
1;DRAM Bound;2.3
1;NUMA: % of Remote Accesses;6.5
0;Vectorization;91.7
1;Instruction Mix;
2;SP FLOPs;6.7
3;Packed;100.0
4;128-bit;1.0
4;256-bit;0.0
4;512-bit;98.9
3;Scalar;0.0
2;DP FLOPs;5.4
3;Packed;81.2
4;128-bit;0.0
4;256-bit;0.4
4;512-bit;80.8
3;Scalar;18.8
2;x87 FLOPs;0.0
2;Non-FP;88.0
1;FP Arith/Mem Rd Instr. Ratio;0.636637
1;FP Arith/Mem Wr Instr. Ratio;1.466045
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../bin/lmp_intel_cpu_intelmpi" "-in" "in.eam-long.scaled" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.15.0-1007-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;Computer Name;instance-20220703-1452
1;Result Size;3286386
1;Collection start time;17:13:25 03/07/2022 UTC
1;Collection stop time;17:13:49 03/07/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593977893
2;Logical CPU Count;128
