/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,11.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;2.651439
1;SP GFLOPS;0.206539
1;DP GFLOPS;0.029602
1;x87 GFLOPS;0.0
1;IPC;0.979998
1;Average CPU Frequency;2096059270.771450
1;Total Thread Count;
1;CPU Time;0.245393
0;Effective Physical Core Utilization;0.2% (0.120 out of 64)
1;Effective Logical Core Utilization;0.1% (0.093 out of 128)
0;Memory Bound;37.9
1;Cache Bound;28.4
1;DRAM Bound;4.0
1;NUMA: % of Remote Accesses;0.8
0;Vectorization;90.2
1;Instruction Mix;
2;SP FLOPs;8.8
3;Packed;100.0
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;100.0
3;Scalar;0.0
2;DP FLOPs;3.6
3;Packed;66.2
4;128-bit;0.0
4;256-bit;0.3
4;512-bit;65.9
3;Scalar;33.8
2;x87 FLOPs;0.0
2;Non-FP;87.6
1;FP Arith/Mem Rd Instr. Ratio;0.491029
1;FP Arith/Mem Wr Instr. Ratio;1.225667
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.eam" "-pk" "intel" "0" "omp" "1" "mode" "single" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;33
1;Computer Name;instance-20220601-1914
1;Result Size;3286143
1;Collection start time;23:01:05 01/06/2022 UTC
1;Collection stop time;23:01:08 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979084
2;Logical CPU Count;128
