/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,9.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;1.747613
1;SP GFLOPS;2.931974
1;DP GFLOPS;0.451115
1;x87 GFLOPS;0.0
1;IPC;0.843186
1;Average CPU Frequency;2428667375.352215
1;Total Thread Count;
1;CPU Time;1.060320
0;Effective Physical Core Utilization;1.0% (0.653 out of 64)
1;Effective Logical Core Utilization;0.5% (0.607 out of 128)
0;Memory Bound;38.4
1;Cache Bound;34.2
1;DRAM Bound;3.3
1;NUMA: % of Remote Accesses;1.7
0;Vectorization;89.0
1;Instruction Mix;
2;SP FLOPs;10.9
3;Packed;98.3
4;128-bit;0.9
4;256-bit;0.0
4;512-bit;97.4
3;Scalar;1.7
2;DP FLOPs;4.6
3;Packed;67.1
4;128-bit;0.0
4;256-bit;0.7
4;512-bit;66.5
3;Scalar;32.9
2;x87 FLOPs;0.0
2;Non-FP;84.5
1;FP Arith/Mem Rd Instr. Ratio;0.883433
1;FP Arith/Mem Wr Instr. Ratio;2.136496
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.eam.scaled" "-pk" "intel" "0" "omp" "1" "mode" "single" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;Computer Name;instance-20220601-1914
1;Result Size;3286204
1;Collection start time;23:03:16 01/06/2022 UTC
1;Collection stop time;23:03:18 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593978995
2;Logical CPU Count;128
