Intel(R) VTune(TM) Amplifier summary
Number of nodes;1

/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220526/hwmetrics/results.instance-20220526-1048,0.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;10.312669
1;SP GFLOPS;6.022699
1;DP GFLOPS;2.054196
1;x87 GFLOPS;0.0
1;IPC;0.842324
1;Average CPU Frequency;3276154562.179578
1;Total Thread Count;
1;CPU Time;10.250439
0;Effective Physical Core Utilization;1.6% (0.999 out of 64)
1;Effective Logical Core Utilization;0.8% (0.994 out of 128)
0;Memory Bound;35.6
1;Cache Bound;33.7
1;DRAM Bound;3.3
1;NUMA: % of Remote Accesses;0.4
0;Vectorization;94.8
1;Instruction Mix;
2;SP FLOPs;9.0
3;Packed;100.0
4;128-bit;1.1
4;256-bit;0.0
4;512-bit;98.9
3;Scalar;0.0
2;DP FLOPs;6.8
3;Packed;87.8
4;128-bit;0.0
4;256-bit;0.5
4;512-bit;87.4
3;Scalar;12.2
2;x87 FLOPs;0.0
2;Non-FP;84.2
1;FP Arith/Mem Rd Instr. Ratio;0.998330
1;FP Arith/Mem Wr Instr. Ratio;2.874339
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.eam.scaled" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;Computer Name;instance-20220526-1048
1;Result Size;3304526
1;Collection start time;17:41:04 26/05/2022 UTC
1;Collection stop time;17:41:14 26/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593975868
2;Logical CPU Count;128
