Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-31 16:15:22
OpenMP threads number, per Process;1
Used statistics;./in.eam.scaled_2048-double_1n_1ont_2048k_aps
Elapsed Time, s;2.25
MPI Time, s;0.06
MPI Time, % of Elapsed Time;2.53
MPI Imbalance;                            N/A*

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.06
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;2.52
MPI Hotspot 2 - MPI_Bcast, s;0.00
MPI Hotspot 2 - MPI_Bcast, % of Elapsed Time;0.00
MPI Hotspot 3 - MPI_Cart_create, s;0.00
MPI Hotspot 3 - MPI_Cart_create, % of Elapsed Time;0.00
MPI Hotspot 4 - MPI_Allreduce, s;0.00
MPI Hotspot 4 - MPI_Allreduce, % of Elapsed Time;0.00
MPI Hotspot 5 - MPI_Scan, s;0.00
MPI Hotspot 5 - MPI_Scan, % of Elapsed Time;0.00
Disk I/O Bound, s;0.00
Memory Footprint
Resident,MB;        702.00
Virtual,MB;       1914.00
| Counters, Memory and Disk usage statistics for all Ranks
Elapsed Time, s
  MIN;            2.25 ;Rank 0
  MAX;            2.25 ;Rank 0
  AVG;            2.25 ;

MPI Time, s
Total;            0.06 ;all ranks
  MIN;            0.06 ;Rank 0
  MAX;            0.06 ;Rank 0
  AVG;            0.06 ;

MPI Time, % of Elapsed Time
  MIN;            2.53 ;Rank 0
  MAX;            2.53 ;Rank 0
  AVG;            2.53 ;

MPI Imbalance, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 1 - MPI_Init, s
Total;            0.06 ;all ranks
  MIN;            0.06 ;Rank 0
  MAX;            0.06 ;Rank 0
  AVG;            0.06 ;

MPI Hotspot 1 - MPI_Init, % of Elapsed Time
  MIN;            2.52 ;Rank 0
  MAX;            2.52 ;Rank 0
  AVG;            2.52 ;

MPI Hotspot 2 - MPI_Bcast, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 2 - MPI_Bcast, % of Elapsed Time
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 3 - MPI_Cart_create, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 3 - MPI_Cart_create, % of Elapsed Time
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 4 - MPI_Allreduce, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 4 - MPI_Allreduce, % of Elapsed Time
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 5 - MPI_Scan, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 5 - MPI_Scan, % of Elapsed Time
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

OpenMP threads number, per Process
  MIN;            1.00 ;Rank 0
  MAX;            1.00 ;Rank 0
  AVG;            1.00 ;

Disk I/O Bound, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

Resident Memory Usage per Rank, MB
Total;          702.00 ;all ranks
  MIN;          702.00 ;Rank 0
  MAX;          702.00 ;Rank 0
  AVG;          702.00 ;

Resident Memory Usage per Node, MB
Total;          702.00 ;all nodes
  MIN;          702.00 ;Node instance-20220530-1006
  MAX;          702.00 ;Node instance-20220530-1006
  AVG;          702.00 ;

Virtual Memory Usage per Rank, MB
Total;         1914.00 ;all ranks
  MIN;         1914.00 ;Rank 0
  MAX;         1914.00 ;Rank 0
  AVG;         1914.00 ;

Virtual Memory Usage per Node, MB
Total;         1914.00 ;all nodes
  MIN;         1914.00 ;Node instance-20220530-1006
  MAX;         1914.00 ;Node instance-20220530-1006
  AVG;         1914.00 ;

| MPI Time per Rank for all Ranks
Rank;Elapsed Time(sec);    MPI;Time(sec);    MPI;Time(%);Imbalance(sec);Imbalance(%)
  0000 ;            2.25;            0.06;           2.53;            0.00;           0.00
| TOTAL;            2.25;            0.06;           2.53;            0.00;           0.00
| AVG  ;            2.25;            0.06;           2.53;            0.00;           0.00

| Number of ranks = 1

|#########################################################
| RANK 0
|#########################################################
Elapsed Time;2.25;sec
MPI Time;0.06;sec;2.53%
MPI Imbalance;0.00;sec;0.00%

Function;Time(sec);Time(%);Volume(MB);Volume(%);Calls;AvrMsgSize(B)
            MPI_Init;            0.06;            2.52;             N/A;             N/A;               1;             N/A
           MPI_Bcast;            0.00;            0.00;             N/A;             N/A;              74;             N/A
     MPI_Cart_create;            0.00;            0.00;             N/A;             N/A;               1;             N/A
       MPI_Allreduce;            0.00;            0.00;             N/A;             N/A;              14;             N/A
            MPI_Scan;            0.00;            0.00;             N/A;             N/A;               1;             N/A
         MPI_Barrier;            0.00;            0.00;             N/A;             N/A;               2;             N/A
       MPI_Comm_free;            0.00;            0.00;             N/A;             N/A;               1;             N/A
        MPI_Cart_get;            0.00;            0.00;             N/A;             N/A;               1;             N/A
       MPI_Comm_rank;            0.00;            0.00;             N/A;             N/A;               9;             N/A
      MPI_Cart_shift;            0.00;            0.00;             N/A;             N/A;               3;             N/A
       MPI_Comm_size;            0.00;            0.00;             N/A;             N/A;               4;             N/A
       MPI_Cart_rank;            0.00;            0.00;             N/A;             N/A;               1;             N/A
       MPI_Type_size;            0.00;            0.00;             N/A;             N/A;               2;             N/A
| TOTAL             ;            0.06;            2.53;             N/A;             N/A;             114;             N/A

Function;Time(sec);Time(%);Volume(MB);Volume(%);Calls;MsgSize(B)
            MPI_Init;            0.06;            2.52;             N/A;             N/A;               1             ;N/A
           MPI_Bcast;            0.00;            0.00;             N/A;             N/A;              74             ;N/A
     MPI_Cart_create;            0.00;            0.00;             N/A;             N/A;               1             ;N/A
       MPI_Allreduce;            0.00;            0.00;             N/A;             N/A;              14             ;N/A
            MPI_Scan;            0.00;            0.00;             N/A;             N/A;               1             ;N/A
         MPI_Barrier;            0.00;            0.00;             N/A;             N/A;               2             ;N/A
       MPI_Comm_free;            0.00;            0.00;             N/A;             N/A;               1             ;N/A
        MPI_Cart_get;            0.00;            0.00;             N/A;             N/A;               1             ;N/A
       MPI_Comm_rank;            0.00;            0.00;             N/A;             N/A;               9             ;N/A
      MPI_Cart_shift;            0.00;            0.00;             N/A;             N/A;               3             ;N/A
       MPI_Comm_size;            0.00;            0.00;             N/A;             N/A;               4             ;N/A
       MPI_Cart_rank;            0.00;            0.00;             N/A;             N/A;               1             ;N/A
       MPI_Type_size;            0.00;            0.00;             N/A;             N/A;               2             ;N/A

WARNING: No information about Volume of transfers. Set the APS_STAT_LEVEL value to 2 or greater to generate results. 
| % - percentage of MPI functions total time
