/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,42.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;4.637720
1;SP GFLOPS;1.979012
1;DP GFLOPS;0.303701
1;x87 GFLOPS;0.0
1;IPC;0.914748
1;Average CPU Frequency;3150724783.773555
1;Total Thread Count;
1;CPU Time;2.139248
0;Effective Physical Core Utilization;0.7% (0.460 out of 64)
1;Effective Logical Core Utilization;0.4% (0.461 out of 128)
0;Memory Bound;36.2
1;Cache Bound;30.9
1;DRAM Bound;7.5
1;NUMA: % of Remote Accesses;1.0
0;Vectorization;90.4
1;Instruction Mix;
2;SP FLOPs;7.0
3;Packed;98.3
4;128-bit;0.7
4;256-bit;0.0
4;512-bit;97.6
3;Scalar;1.7
2;DP FLOPs;2.9
3;Packed;70.8
4;128-bit;0.0
4;256-bit;0.7
4;512-bit;70.1
3;Scalar;29.2
2;x87 FLOPs;0.0
2;Non-FP;90.1
1;FP Arith/Mem Rd Instr. Ratio;0.447593
1;FP Arith/Mem Wr Instr. Ratio;1.007312
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.eam.scaled_2048" "-pk" "intel" "0" "omp" "1" "mode" "single" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;8
1;Computer Name;instance-20220601-1914
1;Result Size;3286233
1;Collection start time;23:10:57 01/06/2022 UTC
1;Collection stop time;23:11:02 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979066
2;Logical CPU Count;128
