/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,1.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;9.798974
1;SP GFLOPS;0.000000
1;DP GFLOPS;6.769092
1;x87 GFLOPS;0.0
1;IPC;1.097361
1;Average CPU Frequency;3112877644.327312
1;Total Thread Count;
1;CPU Time;9.542647
0;Effective Physical Core Utilization;1.5% (0.974 out of 64)
1;Effective Logical Core Utilization;0.8% (0.974 out of 128)
0;Memory Bound;24.9
1;Cache Bound;20.9
1;DRAM Bound;4.5
1;NUMA: % of Remote Accesses;0.7
0;Vectorization;97.1
1;Instruction Mix;
2;SP FLOPs;0.0
3;Packed;0.0
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;0.0
3;Scalar;100.0
2;DP FLOPs;18.3
3;Packed;97.1
4;128-bit;0.9
4;256-bit;0.0
4;512-bit;96.3
3;Scalar;2.9
2;x87 FLOPs;0.0
2;Non-FP;81.7
1;FP Arith/Mem Rd Instr. Ratio;1.089575
1;FP Arith/Mem Wr Instr. Ratio;3.366526
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.eam.scaled_864" "-pk" "intel" "0" "omp" "1" "mode" "double" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;2
1;Computer Name;instance-20220601-1914
1;Result Size;3286241
1;Collection start time;23:04:52 01/06/2022 UTC
1;Collection stop time;23:05:01 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979123
2;Logical CPU Count;128
