/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220526/hwmetrics/results.instance-20220526-1048,3.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;18.092220
1;SP GFLOPS;2.947094
1;DP GFLOPS;0.970168
1;x87 GFLOPS;0.0
1;IPC;1.465787
1;Average CPU Frequency;3252305605.610483
1;Total Thread Count;
1;CPU Time;17.779692
0;Effective Physical Core Utilization;1.5% (0.985 out of 64)
1;Effective Logical Core Utilization;0.8% (0.983 out of 128)
0;Memory Bound;19.4
1;Cache Bound;20.9
1;DRAM Bound;1.9
1;NUMA: % of Remote Accesses;0.6
0;Vectorization;93.8
1;Instruction Mix;
2;SP FLOPs;3.1
3;Packed;100.0
4;128-bit;1.2
4;256-bit;0.0
4;512-bit;98.8
3;Scalar;0.0
2;DP FLOPs;2.3
3;Packed;85.6
4;128-bit;0.0
4;256-bit;0.6
4;512-bit;85.0
3;Scalar;14.4
2;x87 FLOPs;0.0
2;Non-FP;94.6
1;FP Arith/Mem Rd Instr. Ratio;0.224536
1;FP Arith/Mem Wr Instr. Ratio;0.399268
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.eam.scaled_864" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;Computer Name;instance-20220526-1048
1;Result Size;3286263
1;Collection start time;17:43:51 26/05/2022 UTC
1;Collection stop time;17:44:09 26/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593975896
2;Logical CPU Count;128
