Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:16:10
Number of ranks;64
Ranks per node;64
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987105
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.eam.timer_64n_1ont_32k_aps
Elapsed Time, s;3.55
SP GFLOPS;0.17
DP GFLOPS;0.02
Average CPU Frequency, GHz;                      1.45
Instructions Per Cycle Rate;0.77
MPI Time, s;2.64
MPI Time, % of Elapsed Time;74.41
MPI Imbalance, s;0.01
MPI Imbalance, % of Elapsed Time;0.42

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;2.59
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;72.89
MPI Hotspot 2 - MPI_Wait, s;0.02
MPI Hotspot 2 - MPI_Wait, % of Elapsed Time;0.56
MPI Hotspot 3 - MPI_Cart_create, s;0.01
MPI Hotspot 3 - MPI_Cart_create, % of Elapsed Time;0.35
MPI Hotspot 4 - MPI_Finalize, s;0.01
MPI Hotspot 4 - MPI_Finalize, % of Elapsed Time;0.27
MPI Hotspot 5 - MPI_Bcast, s;0.00
MPI Hotspot 5 - MPI_Bcast, % of Elapsed Time;0.11
Memory Stalls, % of Pipeline Slots;28.70
Cache Stalls, % of Cycles;18.60
DRAM Stalls, % of Cycles;1.80
DRAM Bandwidth Peak, GB/s;190.03
DRAM Bandwidth Average, GB/s;4.03
DRAM Bandwidth Bound, %;3.30
NUMA, % of Remote Accesses;1.80
Vectorization, %;99.50
SP FLOPs, % of uOps;0.10
Packed, % from SP FP;100.00
SP 128-bit, %;0.00
SP 256-bit, %;0.00
SP 512-bit, %;100.00
SP Scalar, % from SP FP;0.00
DP FLOPs, % of uOps;0.00
Non-FP, % of uOps;99.90
FP Arith/Mem Rd Instr. Ratio;0.01
FP Arith/Mem Wr Instr. Ratio;0.01
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         7996.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;         7996.00
Per rank
Peak resident set size,MB;          130.00
Peak resident set rank;0
Average resident set size,MB;          124.94
Virtual
Per node
Peak memory consumption,MB;       650484.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;       650484.00
Per rank
Peak memory consumption,MB;        10173.00
Peak memory consumption rank;23
Average memory consumption,MB;        10163.81
