Intel(R) VTune(TM) Amplifier summary
Number of nodes;1

/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220519/hwmetrics/results.instance-20220519-1049,s.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;6.504096
1;SP GFLOPS;31.919162
1;DP GFLOPS;10.935396
1;x87 GFLOPS;0.000000
1;IPC;0.866687
1;Average CPU Frequency;2523842385.719269
1;Total Thread Count;
1;CPU Time;56.033025
0;Effective Physical Core Utilization;13.2% (8.474 out of 64)
1;Effective Logical Core Utilization;6.7% (8.615 out of 128)
0;Memory Bound;32.2
1;Cache Bound;30.8
1;DRAM Bound;4.4
2;DRAM Bandwidth Bound;1.0
1;NUMA: % of Remote Accesses;1.2
1;Bandwidth Utilization;
1;Bandwidth Domain;Platform Maximum;Observed Maximum;Average;% of Elapsed Time with High BW Utilization(%)
1;DRAM, GB/sec;50.000000;36.691400;12.276771;1.0
1;DRAM Single-Package, GB/sec;25.000000;18.364100;6.191104;1.0
1;UPI Outgoing, GB/sec;[Unknown];6.148950;0.762768;100.0
0;Vectorization;94.1
1;Instruction Mix;
2;SP FLOPs;7.2
3;Packed;100.0
4;128-bit;1.1
4;256-bit;0.0
4;512-bit;98.9
3;Scalar;0.0
2;DP FLOPs;5.6
3;Packed;86.4
4;128-bit;0.0
4;256-bit;0.5
4;512-bit;85.9
3;Scalar;13.6
2;x87 FLOPs;0.0
2;Non-FP;87.3
1;FP Arith/Mem Rd Instr. Ratio;0.712302
1;FP Arith/Mem Wr Instr. Ratio;1.670796
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.eam.timer" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1027-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;4
1;Computer Name;instance-20220519-1049
1;Result Size;6123430
1;Collection start time;14:22:02 19/05/2022 UTC
1;Collection stop time;14:22:09 19/05/2022 UTC
1;Collector Type;Driverless Perf system-wide counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593987124
2;Logical CPU Count;128
