Intel(R) VTune(TM) Amplifier summary
Number of nodes;1

/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220702/hwmetrics/results.instance-20220702-1848,0.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;50.007287
1;SP GFLOPS;6.794717
1;DP GFLOPS;2.529962
1;x87 GFLOPS;0.0
1;IPC;0.884798
1;Average CPU Frequency;3247972966.215934
1;Total Thread Count;
1;CPU Time;49.313848
0;Effective Physical Core Utilization;1.5% (0.987 out of 64)
1;Effective Logical Core Utilization;0.8% (0.986 out of 128)
0;Memory Bound;23.6
1;Cache Bound;24.3
1;DRAM Bound;0.1
1;NUMA: % of Remote Accesses;55.6
0;Vectorization;90.0
1;Instruction Mix;
2;SP FLOPs;7.5
3;Packed;100.0
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;100.0
3;Scalar;0.0
2;DP FLOPs;6.9
3;Packed;79.1
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;79.1
3;Scalar;20.9
2;x87 FLOPs;0.0
2;Non-FP;85.6
1;FP Arith/Mem Rd Instr. Ratio;1.367036
1;FP Arith/Mem Wr Instr. Ratio;3.004291
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../bin/lmp_intel_cpu_intelmpi" "-in" "in.lj-long" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.15.0-1007-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;Computer Name;instance-20220702-1848
1;Result Size;3304622
1;Collection start time;17:16:34 02/07/2022 UTC
1;Collection stop time;17:17:24 02/07/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593971871
2;Logical CPU Count;128
