Intel(R) VTune(TM) Amplifier summary
Number of nodes;1

/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220531/hwmetrics/results.instance-20220530-1006,0.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;1.139792
1;SP GFLOPS;6.344575
1;DP GFLOPS;0.105370
1;x87 GFLOPS;0.0
1;IPC;0.810805
1;Average CPU Frequency;3042988808.445430
1;Total Thread Count;
1;CPU Time;0.585390
0;Effective Physical Core Utilization;0.9% (0.554 out of 64)
1;Effective Logical Core Utilization;0.4% (0.514 out of 128)
0;Memory Bound;28.5
1;Cache Bound;25.4
1;DRAM Bound;0.4
1;NUMA: % of Remote Accesses;2.6
0;Vectorization;89.8
1;Instruction Mix;
2;SP FLOPs;14.2
3;Packed;97.1
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;97.1
3;Scalar;2.9
2;DP FLOPs;1.5
3;Packed;20.8
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;20.8
3;Scalar;79.2
2;x87 FLOPs;0.0
2;Non-FP;84.3
1;FP Arith/Mem Rd Instr. Ratio;1.034336
1;FP Arith/Mem Wr Instr. Ratio;2.301949
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.lj" "-pk" "intel" "0" "omp" "1" "mode" "single" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;Computer Name;instance-20220530-1006
1;Result Size;3304439
1;Collection start time;14:48:38 31/05/2022 UTC
1;Collection stop time;14:48:39 31/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593983911
2;Logical CPU Count;128
