/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,29.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;1.796869
1;SP GFLOPS;0.275436
1;DP GFLOPS;0.011963
1;x87 GFLOPS;0.0
1;IPC;0.940863
1;Average CPU Frequency;2239703894.613954
1;Total Thread Count;
1;CPU Time;0.340215
0;Effective Physical Core Utilization;0.4% (0.226 out of 64)
1;Effective Logical Core Utilization;0.1% (0.189 out of 128)
0;Memory Bound;23.3
1;Cache Bound;26.3
1;DRAM Bound;4.5
1;NUMA: % of Remote Accesses;3.2
0;Vectorization;58.7
1;Instruction Mix;
2;SP FLOPs;3.3
3;Packed;91.2
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;91.2
3;Scalar;8.8
2;DP FLOPs;1.9
3;Packed;1.7
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;1.7
3;Scalar;98.3
2;x87 FLOPs;0.0
2;Non-FP;94.9
1;FP Arith/Mem Rd Instr. Ratio;0.304572
1;FP Arith/Mem Wr Instr. Ratio;0.666233
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.lj.scaled" "-pk" "intel" "0" "omp" "1" "mode" "single" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;3
1;Computer Name;instance-20220601-1914
1;Result Size;3286174
1;Collection start time;22:53:46 01/06/2022 UTC
1;Collection stop time;22:53:48 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979053
2;Logical CPU Count;128
