/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,28.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;2.184125
1;SP GFLOPS;2.460743
1;DP GFLOPS;0.051364
1;x87 GFLOPS;0.0
1;IPC;0.769249
1;Average CPU Frequency;2445672163.839684
1;Total Thread Count;
1;CPU Time;0.805234
0;Effective Physical Core Utilization;0.6% (0.396 out of 64)
1;Effective Logical Core Utilization;0.3% (0.369 out of 128)
0;Memory Bound;35.0
1;Cache Bound;27.8
1;DRAM Bound;7.2
1;NUMA: % of Remote Accesses;1.4
0;Vectorization;81.9
1;Instruction Mix;
2;SP FLOPs;11.4
3;Packed;97.2
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;97.2
3;Scalar;2.8
2;DP FLOPs;2.4
3;Packed;8.1
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;8.1
3;Scalar;91.9
2;x87 FLOPs;0.0
2;Non-FP;86.2
1;FP Arith/Mem Rd Instr. Ratio;0.873850
1;FP Arith/Mem Wr Instr. Ratio;1.606489
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.lj.scaled_864" "-pk" "intel" "0" "omp" "1" "mode" "single" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;5
1;Computer Name;instance-20220601-1914
1;Result Size;3286196
1;Collection start time;22:56:36 01/06/2022 UTC
1;Collection stop time;22:56:38 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979074
2;Logical CPU Count;128
