Intel(R) VTune(TM) Amplifier summary
Number of nodes;1

/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220519/hwmetrics/results.instance-20220519-1049,s.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;1.315912
1;SP GFLOPS;0.130230
1;DP GFLOPS;0.009123
1;x87 GFLOPS;0.000001
1;IPC;0.839256
1;Average CPU Frequency;1275314857.038436
1;Total Thread Count;
1;CPU Time;7.944148
0;Effective Physical Core Utilization;6.7% (4.281 out of 64)
1;Effective Logical Core Utilization;4.7% (6.037 out of 128)
0;Memory Bound;17.9
1;Cache Bound;18.5
1;DRAM Bound;1.7
2;DRAM Bandwidth Bound;3.6
1;NUMA: % of Remote Accesses;3.0
1;Bandwidth Utilization;
1;Bandwidth Domain;Platform Maximum;Observed Maximum;Average;% of Elapsed Time with High BW Utilization(%)
1;DRAM, GB/sec;50.000000;39.317100;2.696429;3.6
1;DRAM Single-Package, GB/sec;25.000000;20.157300;1.535714;3.6
1;UPI Outgoing, GB/sec;[Unknown];6.904680;0.705357;100.0
0;Vectorization;99.3
1;Instruction Mix;
2;SP FLOPs;0.1
3;Packed;100.0
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;100.0
3;Scalar;0.0
2;DP FLOPs;0.0
3;Packed;94.3
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;94.3
3;Scalar;5.7
2;x87 FLOPs;0.0
2;Non-FP;99.9
1;FP Arith/Mem Rd Instr. Ratio;0.008336
1;FP Arith/Mem Wr Instr. Ratio;0.013815
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.lj.timer" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1027-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;6
1;Computer Name;instance-20220519-1049
1;Result Size;6094799
1;Collection start time;14:03:46 19/05/2022 UTC
1;Collection stop time;14:03:47 19/05/2022 UTC
1;Collector Type;Driverless Perf system-wide counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593987094
2;Logical CPU Count;128
