Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:10:45
OpenMP threads number, per Process;1
Used statistics;./in.lj.timer_1n_1ont_2048k_aps
Elapsed Time, s;1.42
MPI Time, s;0.07
MPI Time, % of Elapsed Time;5.08
MPI Imbalance;                            N/A*

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.07
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;5.05
MPI Hotspot 2 - MPI_Bcast, s;0.00
MPI Hotspot 2 - MPI_Bcast, % of Elapsed Time;0.01
MPI Hotspot 3 - MPI_Cart_create, s;0.00
MPI Hotspot 3 - MPI_Cart_create, % of Elapsed Time;0.01
MPI Hotspot 4 - MPI_Allreduce, s;0.00
MPI Hotspot 4 - MPI_Allreduce, % of Elapsed Time;0.01
MPI Hotspot 5 - MPI_Barrier, s;0.00
MPI Hotspot 5 - MPI_Barrier, % of Elapsed Time;0.00
Disk I/O Bound, s;0.00
Memory Footprint
Resident,MB;        563.00
Virtual,MB;       1762.00
| Counters, Memory and Disk usage statistics for all Ranks
Elapsed Time, s
  MIN;            1.42 ;Rank 0
  MAX;            1.42 ;Rank 0
  AVG;            1.42 ;

MPI Time, s
Total;            0.07 ;all ranks
  MIN;            0.07 ;Rank 0
  MAX;            0.07 ;Rank 0
  AVG;            0.07 ;

MPI Time, % of Elapsed Time
  MIN;            5.08 ;Rank 0
  MAX;            5.08 ;Rank 0
  AVG;            5.08 ;

MPI Imbalance, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 1 - MPI_Init, s
Total;            0.07 ;all ranks
  MIN;            0.07 ;Rank 0
  MAX;            0.07 ;Rank 0
  AVG;            0.07 ;

MPI Hotspot 1 - MPI_Init, % of Elapsed Time
  MIN;            5.05 ;Rank 0
  MAX;            5.05 ;Rank 0
  AVG;            5.05 ;

MPI Hotspot 2 - MPI_Bcast, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 2 - MPI_Bcast, % of Elapsed Time
  MIN;            0.01 ;Rank 0
  MAX;            0.01 ;Rank 0
  AVG;            0.01 ;

MPI Hotspot 3 - MPI_Cart_create, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 3 - MPI_Cart_create, % of Elapsed Time
  MIN;            0.01 ;Rank 0
  MAX;            0.01 ;Rank 0
  AVG;            0.01 ;

MPI Hotspot 4 - MPI_Allreduce, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 4 - MPI_Allreduce, % of Elapsed Time
  MIN;            0.01 ;Rank 0
  MAX;            0.01 ;Rank 0
  AVG;            0.01 ;

MPI Hotspot 5 - MPI_Barrier, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 5 - MPI_Barrier, % of Elapsed Time
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

OpenMP threads number, per Process
  MIN;            1.00 ;Rank 0
  MAX;            1.00 ;Rank 0
  AVG;            1.00 ;

Disk I/O Bound, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

Resident Memory Usage per Rank, MB
Total;          563.00 ;all ranks
  MIN;          563.00 ;Rank 0
  MAX;          563.00 ;Rank 0
