Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:06:49
Number of ranks;2
Ranks per node;2
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987149
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.lj.timer_2n_1ont_864k_aps
Elapsed Time, s;9.30
SP GFLOPS;9.75
DP GFLOPS;3.68
Average CPU Frequency, GHz;                      1.96
Instructions Per Cycle Rate;0.72
MPI Time, s;0.79
MPI Time, % of Elapsed Time;8.44
MPI Imbalance, s;0.07
MPI Imbalance, % of Elapsed Time;0.73

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.65
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;6.99
MPI Hotspot 2 - MPI_Wait, s;0.09
MPI Hotspot 2 - MPI_Wait, % of Elapsed Time;0.96
MPI Hotspot 3 - MPI_Send, s;0.02
MPI Hotspot 3 - MPI_Send, % of Elapsed Time;0.26
MPI Hotspot 4 - MPI_Bcast, s;0.01
MPI Hotspot 4 - MPI_Bcast, % of Elapsed Time;0.11
MPI Hotspot 5 - MPI_Allreduce, s;0.01
MPI Hotspot 5 - MPI_Allreduce, % of Elapsed Time;0.05
Memory Stalls, % of Pipeline Slots;25.80
Cache Stalls, % of Cycles;23.40
DRAM Stalls, % of Cycles;5.90
DRAM Bandwidth Peak, GB/s;16.92
DRAM Bandwidth Average, GB/s;4.86
DRAM Bandwidth Bound, %;0.00
NUMA, % of Remote Accesses;0.60
Vectorization, %;91.70
SP FLOPs, % of uOps;6.20
Packed, % from SP FP;100.00
SP 128-bit, %;0.00
SP 256-bit, %;0.00
SP 512-bit, %;100.00
SP Scalar, % from SP FP;0.00
DP FLOPs, % of uOps;5.60
DP Packed, % from DP FP;82.40
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;82.40
DP Scalar, % from DP FP;17.60
Non-FP, % of uOps;88.20
FP Arith/Mem Rd Instr. Ratio;1.08
FP Arith/Mem Wr Instr. Ratio;2.25
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         1179.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;         1179.00
Per rank
Peak resident set size,MB;          590.00
Peak resident set rank;1
Average resident set size,MB;          589.50
Virtual
Per node
Peak memory consumption,MB;        14476.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;        14476.00
Per rank
Peak memory consumption,MB;         7239.00
Peak memory consumption rank;1
Average memory consumption,MB;         7238.00
