/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220531/hwmetrics/results.instance-20220530-1006,24.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;13.538748
1;SP GFLOPS;0.118623
1;DP GFLOPS;1.417720
1;x87 GFLOPS;0.0
1;IPC;1.323210
1;Average CPU Frequency;3066713563.409833
1;Total Thread Count;
1;CPU Time;12.446143
0;Effective Physical Core Utilization;1.4% (0.925 out of 64)
1;Effective Logical Core Utilization;0.7% (0.919 out of 128)
0;Memory Bound;11.8
1;Cache Bound;12.5
1;DRAM Bound;0.7
1;NUMA: % of Remote Accesses;4.9
0;Vectorization;85.6
1;Instruction Mix;
2;SP FLOPs;0.3
3;Packed;95.5
4;128-bit;0.0
4;256-bit;85.8
4;512-bit;9.6
3;Scalar;4.5
2;DP FLOPs;4.3
3;Packed;85.0
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;85.0
3;Scalar;15.0
2;x87 FLOPs;0.0
2;Non-FP;95.4
1;FP Arith/Mem Rd Instr. Ratio;0.176715
1;FP Arith/Mem Wr Instr. Ratio;0.324598
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo" "-pk" "intel" "0" "omp" "1" "mode" "double" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;4
1;Computer Name;instance-20220530-1006
1;Result Size;3286234
1;Collection start time;15:27:39 31/05/2022 UTC
1;Collection stop time;15:27:53 31/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593983895
2;Logical CPU Count;128
