Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-30 09:04:40
OpenMP threads number, per Process;1
Used statistics;./in.rhodo-e-5.scaled_2048_1n_1ont_2048k_aps
Elapsed Time, s;9.39
MPI Time, s;0.06
MPI Time, % of Elapsed Time;0.64
MPI Imbalance;                            N/A*

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.05
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;0.50
MPI Hotspot 2 - MPI_Alltoallv, s;0.01
MPI Hotspot 2 - MPI_Alltoallv, % of Elapsed Time;0.11
MPI Hotspot 3 - MPI_Comm_dup, s;0.00
MPI Hotspot 3 - MPI_Comm_dup, % of Elapsed Time;0.01
MPI Hotspot 4 - MPI_Bcast, s;0.00
MPI Hotspot 4 - MPI_Bcast, % of Elapsed Time;0.01
MPI Hotspot 5 - MPI_Alltoall, s;0.00
MPI Hotspot 5 - MPI_Alltoall, % of Elapsed Time;0.01
Disk I/O Bound, s;0.00
Memory Footprint
Resident,MB;       2920.00
Virtual,MB;       5551.00
| Counters, Memory and Disk usage statistics for all Ranks
Elapsed Time, s
  MIN;            9.39 ;Rank 0
  MAX;            9.39 ;Rank 0
  AVG;            9.39 ;

MPI Time, s
Total;            0.06 ;all ranks
  MIN;            0.06 ;Rank 0
  MAX;            0.06 ;Rank 0
  AVG;            0.06 ;

MPI Time, % of Elapsed Time
  MIN;            0.64 ;Rank 0
  MAX;            0.64 ;Rank 0
  AVG;            0.64 ;

MPI Imbalance, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 1 - MPI_Init, s
Total;            0.05 ;all ranks
  MIN;            0.05 ;Rank 0
  MAX;            0.05 ;Rank 0
  AVG;            0.05 ;

MPI Hotspot 1 - MPI_Init, % of Elapsed Time
  MIN;            0.50 ;Rank 0
  MAX;            0.50 ;Rank 0
  AVG;            0.50 ;

MPI Hotspot 2 - MPI_Alltoallv, s
Total;            0.01 ;all ranks
  MIN;            0.01 ;Rank 0
  MAX;            0.01 ;Rank 0
  AVG;            0.01 ;

MPI Hotspot 2 - MPI_Alltoallv, % of Elapsed Time
  MIN;            0.11 ;Rank 0
  MAX;            0.11 ;Rank 0
  AVG;            0.11 ;

MPI Hotspot 3 - MPI_Comm_dup, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 3 - MPI_Comm_dup, % of Elapsed Time
  MIN;            0.01 ;Rank 0
  MAX;            0.01 ;Rank 0
  AVG;            0.01 ;

MPI Hotspot 4 - MPI_Bcast, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 4 - MPI_Bcast, % of Elapsed Time
  MIN;            0.01 ;Rank 0
  MAX;            0.01 ;Rank 0
  AVG;            0.01 ;

MPI Hotspot 5 - MPI_Alltoall, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 5 - MPI_Alltoall, % of Elapsed Time
  MIN;            0.01 ;Rank 0
  MAX;            0.01 ;Rank 0
  AVG;            0.01 ;

OpenMP threads number, per Process
  MIN;            1.00 ;Rank 0
  MAX;            1.00 ;Rank 0
  AVG;            1.00 ;

Disk I/O Bound, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

Resident Memory Usage per Rank, MB
Total;         2920.00 ;all ranks
  MIN;         2920.00 ;Rank 0
  MAX;         2920.00 ;Rank 0
  AVG;         2920.00 ;

Resident Memory Usage per Node, MB
Total;         2920.00 ;all nodes
  MIN;         2920.00 ;Node instance-20220530-1006
  MAX;         2920.00 ;Node instance-20220530-1006
  AVG;         2920.00 ;

Virtual Memory Usage per Rank, MB
Total;         5551.00 ;all ranks
  MIN;         5551.00 ;Rank 0
  MAX;         5551.00 ;Rank 0
  AVG;         5551.00 ;

Virtual Memory Usage per Node, MB
Total;         5551.00 ;all nodes
  MIN;         5551.00 ;Node instance-20220530-1006
  MAX;         5551.00 ;Node instance-20220530-1006
  AVG;         5551.00 ;

| MPI Time per Rank for all Ranks
Rank;Elapsed Time(sec);    MPI;Time(sec);    MPI;Time(%);Imbalance(sec);Imbalance(%)
  0000 ;            9.39;            0.06;           0.64;            0.00;           0.00
| TOTAL;            9.39;            0.06;           0.64;            0.00;           0.00
| AVG  ;            9.39;            0.06;           0.64;            0.00;           0.00

| Number of ranks = 1

|#########################################################
| RANK 0
|#########################################################
Elapsed Time;9.39;sec
MPI Time;0.06;sec;0.64%
MPI Imbalance;0.00;sec;0.00%

Function;Time(sec);Time(%);Volume(MB);Volume(%);Calls;AvrMsgSize(B)
            MPI_Init;            0.05;            0.50;             N/A;             N/A;               1;             N/A
       MPI_Alltoallv;            0.01;            0.11;             N/A;             N/A;              21;             N/A
        MPI_Comm_dup;            0.00;            0.01;             N/A;             N/A;               7;             N/A
           MPI_Bcast;            0.00;            0.01;             N/A;             N/A;             859;             N/A
        MPI_Alltoall;            0.00;            0.01;             N/A;             N/A;              21;             N/A
       MPI_Allreduce;            0.00;            0.00;             N/A;             N/A;              91;             N/A
     MPI_Cart_create;            0.00;            0.00;             N/A;             N/A;               2;             N/A
         MPI_Barrier;            0.00;            0.00;             N/A;             N/A;               6;             N/A
       MPI_Comm_free;            0.00;            0.00;             N/A;             N/A;               2;             N/A
       MPI_Allgather;            0.00;            0.00;             N/A;             N/A;              14;             N/A
       MPI_Comm_rank;            0.00;            0.00;             N/A;             N/A;              26;             N/A
        MPI_Cart_get;            0.00;            0.00;             N/A;             N/A;               2;             N/A
      MPI_Cart_shift;            0.00;            0.00;             N/A;             N/A;               6;             N/A
       MPI_Cart_rank;            0.00;            0.00;             N/A;             N/A;               2;             N/A
       MPI_Comm_size;            0.00;            0.00;             N/A;             N/A;              17;             N/A
       MPI_Type_size;            0.00;            0.00;             N/A;             N/A;               2;             N/A
| TOTAL             ;            0.06;            0.64;             N/A;             N/A;            1079;             N/A

Function;Time(sec);Time(%);Volume(MB);Volume(%);Calls;MsgSize(B)
            MPI_Init;            0.05;            0.50;             N/A;             N/A;               1             ;N/A
       MPI_Alltoallv;            0.01;            0.11;             N/A;             N/A;              21             ;N/A
        MPI_Comm_dup;            0.00;            0.01;             N/A;             N/A;               7             ;N/A
           MPI_Bcast;            0.00;            0.01;             N/A;             N/A;             859             ;N/A
        MPI_Alltoall;            0.00;            0.01;             N/A;             N/A;              21             ;N/A
       MPI_Allreduce;            0.00;            0.00;             N/A;             N/A;              91             ;N/A
     MPI_Cart_create;            0.00;            0.00;             N/A;             N/A;               2             ;N/A
         MPI_Barrier;            0.00;            0.00;             N/A;             N/A;               6             ;N/A
       MPI_Comm_free;            0.00;            0.00;             N/A;             N/A;               2             ;N/A
       MPI_Allgather;            0.00;            0.00;             N/A;             N/A;              14             ;N/A
       MPI_Comm_rank;            0.00;            0.00;             N/A;             N/A;              26             ;N/A
        MPI_Cart_get;            0.00;            0.00;             N/A;             N/A;               2             ;N/A
