/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,51.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;4.289673
1;SP GFLOPS;2.087419
1;DP GFLOPS;0.232098
1;x87 GFLOPS;0.0
1;IPC;1.317482
1;Average CPU Frequency;3023121354.732385
1;Total Thread Count;
1;CPU Time;1.936342
0;Effective Physical Core Utilization;0.7% (0.474 out of 64)
1;Effective Logical Core Utilization;0.4% (0.451 out of 128)
0;Memory Bound;23.5
1;Cache Bound;21.1
1;DRAM Bound;4.1
1;NUMA: % of Remote Accesses;6.3
0;Vectorization;57.9
1;Instruction Mix;
2;SP FLOPs;7.4
3;Packed;91.9
4;128-bit;0.0
4;256-bit;22.0
4;512-bit;70.0
3;Scalar;8.1
2;DP FLOPs;5.6
3;Packed;13.0
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;13.0
3;Scalar;87.0
2;x87 FLOPs;0.0
2;Non-FP;87.1
1;FP Arith/Mem Rd Instr. Ratio;0.519027
1;FP Arith/Mem Wr Instr. Ratio;1.187490
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo-e-5" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;9
1;Computer Name;instance-20220601-1914
1;Result Size;3286216
1;Collection start time;18:07:44 01/06/2022 UTC
1;Collection stop time;18:07:48 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979080
2;Logical CPU Count;128
