/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220530/hwmetrics/results.instance-20220530-1006,47.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;4.288877
1;SP GFLOPS;2.089802
1;DP GFLOPS;0.209373
1;x87 GFLOPS;0.0
1;IPC;1.231730
1;Average CPU Frequency;3036202951.089505
1;Total Thread Count;
1;CPU Time;2.040622
0;Effective Physical Core Utilization;0.8% (0.491 out of 64)
1;Effective Logical Core Utilization;0.4% (0.476 out of 128)
0;Memory Bound;28.0
1;Cache Bound;21.5
1;DRAM Bound;3.9
1;NUMA: % of Remote Accesses;3.6
0;Vectorization;63.4
1;Instruction Mix;
2;SP FLOPs;7.8
3;Packed;93.0
4;128-bit;0.0
4;256-bit;19.4
4;512-bit;73.5
3;Scalar;7.0
2;DP FLOPs;4.9
3;Packed;16.2
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;16.2
3;Scalar;83.8
2;x87 FLOPs;0.0
2;Non-FP;87.3
1;FP Arith/Mem Rd Instr. Ratio;0.512459
1;FP Arith/Mem Wr Instr. Ratio;1.194342
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo-e-5" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;8
1;Computer Name;instance-20220530-1006
1;Result Size;3286217
1;Collection start time;08:53:57 30/05/2022 UTC
1;Collection stop time;08:54:01 30/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593983899
2;Logical CPU Count;128
