/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,7.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;85.022237
1;SP GFLOPS;8.789773
1;DP GFLOPS;1.489599
1;x87 GFLOPS;0.0
1;IPC;1.399279
1;Average CPU Frequency;3303328343.463557
1;Total Thread Count;
1;CPU Time;84.223448
0;Effective Physical Core Utilization;1.5% (0.992 out of 64)
1;Effective Logical Core Utilization;0.8% (0.991 out of 128)
0;Memory Bound;31.6
1;Cache Bound;20.3
1;DRAM Bound;5.6
1;NUMA: % of Remote Accesses;1.2
0;Vectorization;40.1
1;Instruction Mix;
2;SP FLOPs;11.2
3;Packed;96.4
4;128-bit;0.0
4;256-bit;10.7
4;512-bit;85.7
3;Scalar;3.6
2;DP FLOPs;18.9
3;Packed;6.7
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;6.7
3;Scalar;93.3
2;x87 FLOPs;0.0
2;Non-FP;69.9
1;FP Arith/Mem Rd Instr. Ratio;1.265322
1;FP Arith/Mem Wr Instr. Ratio;3.778555
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo-e-6.scaled_2048" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;2
1;Computer Name;instance-20220601-1914
1;Result Size;3286325
1;Collection start time;18:41:59 01/06/2022 UTC
1;Collection stop time;18:43:24 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979087
2;Logical CPU Count;128
