/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,1.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;37.538633
1;SP GFLOPS;10.603273
1;DP GFLOPS;1.406563
1;x87 GFLOPS;0.000001
1;IPC;1.449985
1;Average CPU Frequency;3265043456.169293
1;Total Thread Count;
1;CPU Time;36.795493
0;Effective Physical Core Utilization;1.5% (0.980 out of 64)
1;Effective Logical Core Utilization;0.8% (0.980 out of 128)
0;Memory Bound;28.6
1;Cache Bound;22.7
1;DRAM Bound;3.1
1;NUMA: % of Remote Accesses;0.1
0;Vectorization;50.1
1;Instruction Mix;
2;SP FLOPs;13.8
3;Packed;91.7
4;128-bit;0.0
4;256-bit;19.5
4;512-bit;72.2
3;Scalar;8.3
2;DP FLOPs;14.3
3;Packed;9.9
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;9.9
3;Scalar;90.1
2;x87 FLOPs;0.0
2;Non-FP;71.9
1;FP Arith/Mem Rd Instr. Ratio;1.217133
1;FP Arith/Mem Wr Instr. Ratio;4.432013
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo-e-6.scaled" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;1
1;Computer Name;instance-20220601-1914
1;Result Size;3304570
1;Collection start time;18:27:32 01/06/2022 UTC
1;Collection stop time;18:28:09 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979093
2;Logical CPU Count;128
