Intel(R) VTune(TM) Amplifier summary
Number of nodes;1

/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220530/hwmetrics/results.instance-20220530-1006,0.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;115.901903
1;SP GFLOPS;8.801948
1;DP GFLOPS;1.931987
1;x87 GFLOPS;0.0
1;IPC;1.744635
1;Average CPU Frequency;3308084265.995582
1;Total Thread Count;
1;CPU Time;115.612447
0;Effective Physical Core Utilization;1.6% (0.997 out of 64)
1;Effective Logical Core Utilization;0.8% (0.998 out of 128)
0;Memory Bound;28.5
1;Cache Bound;19.6
1;DRAM Bound;3.8
1;NUMA: % of Remote Accesses;0.1
0;Vectorization;30.7
1;Instruction Mix;
2;SP FLOPs;9.9
3;Packed;92.8
4;128-bit;0.0
4;256-bit;15.1
4;512-bit;77.6
3;Scalar;7.2
2;DP FLOPs;23.0
3;Packed;4.1
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;4.1
3;Scalar;95.9
2;x87 FLOPs;0.0
2;Non-FP;67.1
1;FP Arith/Mem Rd Instr. Ratio;1.351538
1;FP Arith/Mem Wr Instr. Ratio;4.389942
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo-e-7.scaled" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;Computer Name;instance-20220530-1006
1;Result Size;3304581
1;Collection start time;09:35:22 30/05/2022 UTC
1;Collection stop time;09:37:18 30/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593983897
2;Logical CPU Count;128
