/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220530/hwmetrics/results.instance-20220530-1006,11.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;33.432079
1;SP GFLOPS;6.342499
1;DP GFLOPS;1.201635
1;x87 GFLOPS;0.000001
1;IPC;1.512889
1;Average CPU Frequency;3258849940.639616
1;Total Thread Count;
1;CPU Time;32.701469
0;Effective Physical Core Utilization;1.5% (0.978 out of 64)
1;Effective Logical Core Utilization;0.8% (0.978 out of 128)
0;Memory Bound;32.5
1;Cache Bound;19.4
1;DRAM Bound;8.5
1;NUMA: % of Remote Accesses;2.3
0;Vectorization;35.7
1;Instruction Mix;
2;SP FLOPs;8.4
3;Packed;92.9
4;128-bit;0.0
4;256-bit;16.1
4;512-bit;76.8
3;Scalar;7.1
2;DP FLOPs;15.8
3;Packed;5.3
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;5.3
3;Scalar;94.7
2;x87 FLOPs;0.0
2;Non-FP;75.8
1;FP Arith/Mem Rd Instr. Ratio;0.959107
1;FP Arith/Mem Wr Instr. Ratio;2.543891
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo-e-7.scaled_864" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;6
1;Computer Name;instance-20220530-1006
1;Result Size;3286304
1;Collection start time;09:53:44 30/05/2022 UTC
1;Collection stop time;09:54:17 30/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593983897
2;Logical CPU Count;128
