Intel(R) VTune(TM) Amplifier summary
Number of nodes;1

/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220530/hwmetrics/results.instance-20220530-1006,0.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;55737.095147
1;SP GFLOPS;0.038088
1;DP GFLOPS;6.660389
1;x87 GFLOPS;0.0
1;IPC;2.152170
1;Average CPU Frequency;3378077925.210882
1;Total Thread Count;
1;CPU Time;55548.376324
0;Effective Physical Core Utilization;1.6% (0.997 out of 64)
1;Effective Logical Core Utilization;0.8% (0.997 out of 128)
0;Memory Bound;21.7
1;Cache Bound;10.6
1;DRAM Bound;9.2
1;NUMA: % of Remote Accesses;0.0
0;Vectorization;7.0
1;Instruction Mix;
2;SP FLOPs;0.0
3;Packed;99.6
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;99.6
3;Scalar;0.4
2;DP FLOPs;60.2
3;Packed;6.9
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;6.9
3;Scalar;93.1
2;x87 FLOPs;0.0
2;Non-FP;39.8
1;FP Arith/Mem Rd Instr. Ratio;1.061259
1;FP Arith/Mem Wr Instr. Ratio;7.507907
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo-ew.scaled_864" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;Computer Name;instance-20220530-1006
1;Result Size;3304688
1;Collection start time;18:01:45 30/05/2022 UTC
1;Collection stop time;09:30:42 31/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593983896
2;Logical CPU Count;128
