/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220530/hwmetrics/results.instance-20220530-1006,0.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;447.211327
1;SP GFLOPS;1.100232
1;DP GFLOPS;7.423381
1;x87 GFLOPS;0.0
1;IPC;2.497600
1;Average CPU Frequency;3370887239.881581
1;Total Thread Count;
1;CPU Time;446.421363
0;Effective Physical Core Utilization;1.6% (0.998 out of 64)
1;Effective Logical Core Utilization;0.8% (0.998 out of 128)
0;Memory Bound;15.2
1;Cache Bound;7.2
1;DRAM Bound;0.8
1;NUMA: % of Remote Accesses;0.3
0;Vectorization;8.0
1;Instruction Mix;
2;SP FLOPs;0.8
3;Packed;99.6
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;99.6
3;Scalar;0.4
2;DP FLOPs;57.3
3;Packed;6.8
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;6.8
3;Scalar;93.2
2;x87 FLOPs;0.0
2;Non-FP;41.9
1;FP Arith/Mem Rd Instr. Ratio;1.053373
1;FP Arith/Mem Wr Instr. Ratio;7.317663
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo-ew" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;Computer Name;instance-20220530-1006
1;Result Size;3304573
1;Collection start time;13:32:35 30/05/2022 UTC
1;Collection stop time;13:40:02 30/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593983896
2;Logical CPU Count;128
