/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220531/hwmetrics/results.instance-20220530-1006,1.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;11.117038
1;SP GFLOPS;1.743975
1;DP GFLOPS;0.034544
1;x87 GFLOPS;0.0
1;IPC;1.579190
1;Average CPU Frequency;2988152255.007146
1;Total Thread Count;
1;CPU Time;10.070361
0;Effective Physical Core Utilization;1.4% (0.912 out of 64)
1;Effective Logical Core Utilization;0.7% (0.906 out of 128)
0;Memory Bound;10.6
1;Cache Bound;12.8
1;DRAM Bound;0.6
1;NUMA: % of Remote Accesses;7.1
0;Vectorization;78.2
1;Instruction Mix;
2;SP FLOPs;2.4
3;Packed;92.0
4;128-bit;0.0
4;256-bit;18.5
4;512-bit;73.5
3;Scalar;8.0
2;DP FLOPs;0.5
3;Packed;5.6
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;5.6
3;Scalar;94.4
2;x87 FLOPs;0.0
2;Non-FP;97.1
1;FP Arith/Mem Rd Instr. Ratio;0.105378
1;FP Arith/Mem Wr Instr. Ratio;0.185758
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo" "-pk" "intel" "0" "omp" "1" "mode" "single" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;2
1;Computer Name;instance-20220530-1006
1;Result Size;3286225
1;Collection start time;14:20:45 31/05/2022 UTC
1;Collection stop time;14:20:56 31/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593983891
2;Logical CPU Count;128
