/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220531/hwmetrics/results.instance-20220530-1006,1.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;78.974794
1;SP GFLOPS;0.545156
1;DP GFLOPS;5.289133
1;x87 GFLOPS;0.0
1;IPC;1.409821
1;Average CPU Frequency;3298870186.375525
1;Total Thread Count;
1;CPU Time;39.506739
0;Effective Physical Core Utilization;0.8% (0.501 out of 64)
1;Effective Logical Core Utilization;0.4% (0.500 out of 128)
0;Memory Bound;16.4
1;Cache Bound;14.0
1;DRAM Bound;1.9
1;NUMA: % of Remote Accesses;0.3
0;Vectorization;88.1
1;Instruction Mix;
2;SP FLOPs;2.0
3;Packed;96.4
4;128-bit;0.0
4;256-bit;83.2
4;512-bit;13.1
3;Scalar;3.6
2;DP FLOPs;23.7
3;Packed;87.5
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;87.5
3;Scalar;12.5
2;x87 FLOPs;0.0
2;Non-FP;74.3
1;FP Arith/Mem Rd Instr. Ratio;1.251967
1;FP Arith/Mem Wr Instr. Ratio;4.724760
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo.scaled" "-pk" "intel" "0" "omp" "1" "mode" "double" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;Computer Name;instance-20220530-1006
1;Result Size;3286282
1;Collection start time;15:30:43 31/05/2022 UTC
1;Collection stop time;15:32:02 31/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593983900
2;Logical CPU Count;128
