/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,2.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;10.330898
1;SP GFLOPS;0.931883
1;DP GFLOPS;10.802394
1;x87 GFLOPS;0.0
1;IPC;1.414438
1;Average CPU Frequency;3057817648.381114
1;Total Thread Count;
1;CPU Time;9.963108
0;Effective Physical Core Utilization;1.5% (0.972 out of 64)
1;Effective Logical Core Utilization;0.8% (0.964 out of 128)
0;Memory Bound;18.9
1;Cache Bound;15.2
1;DRAM Bound;2.9
1;NUMA: % of Remote Accesses;1.5
0;Vectorization;90.0
1;Instruction Mix;
2;SP FLOPs;1.9
3;Packed;96.0
4;128-bit;0.0
4;256-bit;84.6
4;512-bit;11.4
3;Scalar;4.0
2;DP FLOPs;26.4
3;Packed;89.6
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;89.6
3;Scalar;10.4
2;x87 FLOPs;0.0
2;Non-FP;71.7
1;FP Arith/Mem Rd Instr. Ratio;1.336948
1;FP Arith/Mem Wr Instr. Ratio;5.408819
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo.scaled" "-pk" "intel" "0" "omp" "1" "mode" "double" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;Computer Name;instance-20220601-1914
1;Result Size;3286256
1;Collection start time;22:20:24 01/06/2022 UTC
1;Collection stop time;22:20:34 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979105
2;Logical CPU Count;128
