/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220531/hwmetrics/results.instance-20220530-1006,12.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;11.697031
1;SP GFLOPS;3.829806
1;DP GFLOPS;0.062230
1;x87 GFLOPS;0.000001
1;IPC;1.393100
1;Average CPU Frequency;3095366575.005053
1;Total Thread Count;
1;CPU Time;11.127695
0;Effective Physical Core Utilization;1.5% (0.958 out of 64)
1;Effective Logical Core Utilization;0.7% (0.951 out of 128)
0;Memory Bound;14.7
1;Cache Bound;15.5
1;DRAM Bound;1.6
1;NUMA: % of Remote Accesses;1.7
0;Vectorization;78.8
1;Instruction Mix;
2;SP FLOPs;5.8
3;Packed;89.8
4;128-bit;0.0
4;256-bit;16.6
4;512-bit;73.2
3;Scalar;10.2
2;DP FLOPs;0.9
3;Packed;6.0
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;6.0
3;Scalar;94.0
2;x87 FLOPs;0.0
2;Non-FP;93.4
1;FP Arith/Mem Rd Instr. Ratio;0.273795
1;FP Arith/Mem Wr Instr. Ratio;0.549540
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo.scaled" "-pk" "intel" "0" "omp" "1" "mode" "single" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;9
1;Computer Name;instance-20220530-1006
1;Result Size;3286253
1;Collection start time;14:25:18 31/05/2022 UTC
1;Collection stop time;14:25:30 31/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593983985
2;Logical CPU Count;128
