Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-04-21 16:21:07
Number of ranks;64
Ranks per node;64
OpenMP threads number, per Rank;1
Used statistics;./in.rhodo.scaled.timer_64n_1ont_864k_aps
Elapsed Time, s;5.58
MPI Time, s;1.85
MPI Time, % of Elapsed Time;33.15
MPI Imbalance, s;0.19
MPI Imbalance, % of Elapsed Time;3.43

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;1.27
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;22.79
MPI Hotspot 2 - MPI_Wait, s;0.19
MPI Hotspot 2 - MPI_Wait, % of Elapsed Time;3.46
MPI Hotspot 3 - MPI_Allreduce, s;0.14
MPI Hotspot 3 - MPI_Allreduce, % of Elapsed Time;2.51
MPI Hotspot 4 - MPI_Send, s;0.07
MPI Hotspot 4 - MPI_Send, % of Elapsed Time;1.32
MPI Hotspot 5 - MPI_Waitany, s;0.06
MPI Hotspot 5 - MPI_Waitany, % of Elapsed Time;1.04
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;        19305.00
Peak resident set node;instance-20220421-1624
Average resident set size,MB;        19305.00
Per rank
Peak resident set size,MB;          319.00
Peak resident set rank;31
Average resident set size,MB;          301.64
Virtual
Per node
Peak memory consumption,MB;       668226.00
Peak memory consumption node;instance-20220421-1624
Average memory consumption,MB;       668226.00
Per rank
Peak memory consumption,MB;        10445.00
Peak memory consumption rank;56
Average memory consumption,MB;        10441.03
