/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220531/hwmetrics/results.instance-20220530-1006,0.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;299.869715
1;SP GFLOPS;0.505682
1;DP GFLOPS;5.447003
1;x87 GFLOPS;0.0
1;IPC;1.432601
1;Average CPU Frequency;3304203268.800565
1;Total Thread Count;
1;CPU Time;149.603155
0;Effective Physical Core Utilization;0.8% (0.499 out of 64)
1;Effective Logical Core Utilization;0.4% (0.499 out of 128)
0;Memory Bound;19.1
1;Cache Bound;14.5
1;DRAM Bound;3.9
1;NUMA: % of Remote Accesses;0.6
0;Vectorization;86.5
1;Instruction Mix;
2;SP FLOPs;1.9
3;Packed;96.0
4;128-bit;0.0
4;256-bit;85.4
4;512-bit;10.6
3;Scalar;4.0
2;DP FLOPs;24.6
3;Packed;85.8
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;85.8
3;Scalar;14.2
2;x87 FLOPs;0.0
2;Non-FP;73.5
1;FP Arith/Mem Rd Instr. Ratio;1.265423
1;FP Arith/Mem Wr Instr. Ratio;4.900401
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo.scaled_2048" "-pk" "intel" "0" "omp" "1" "mode" "double" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;2
1;Computer Name;instance-20220530-1006
1;Result Size;3286320
1;Collection start time;15:52:30 31/05/2022 UTC
1;Collection stop time;15:57:30 31/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593983896
2;Logical CPU Count;128
