/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,28.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;12.077281
1;SP GFLOPS;8.266418
1;DP GFLOPS;0.153685
1;x87 GFLOPS;0.0
1;IPC;1.078472
1;Average CPU Frequency;2880200843.633049
1;Total Thread Count;
1;CPU Time;9.853416
0;Effective Physical Core Utilization;1.3% (0.819 out of 64)
1;Effective Logical Core Utilization;0.6% (0.816 out of 128)
0;Memory Bound;31.7
1;Cache Bound;24.0
1;DRAM Bound;7.0
1;NUMA: % of Remote Accesses;1.3
0;Vectorization;78.2
1;Instruction Mix;
2;SP FLOPs;18.3
3;Packed;91.7
4;128-bit;0.0
4;256-bit;19.1
4;512-bit;72.6
3;Scalar;8.3
2;DP FLOPs;3.4
3;Packed;4.8
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;4.8
3;Scalar;95.2
2;x87 FLOPs;0.0
2;Non-FP;78.4
1;FP Arith/Mem Rd Instr. Ratio;0.935198
1;FP Arith/Mem Wr Instr. Ratio;3.245810
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo.scaled_2048" "-pk" "intel" "0" "omp" "1" "mode" "single" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;2
1;Computer Name;instance-20220601-1914
1;Result Size;3286269
1;Collection start time;22:49:51 01/06/2022 UTC
1;Collection stop time;22:50:03 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979094
2;Logical CPU Count;128
