/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220531/hwmetrics/results.instance-20220530-1006,61.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;22.641670
1;SP GFLOPS;3.961813
1;DP GFLOPS;0.078051
1;x87 GFLOPS;0.000001
1;IPC;1.213858
1;Average CPU Frequency;3198169463.580000
1;Total Thread Count;
1;CPU Time;20.251395
0;Effective Physical Core Utilization;1.4% (0.901 out of 64)
1;Effective Logical Core Utilization;0.7% (0.894 out of 128)
0;Memory Bound;17.2
1;Cache Bound;16.8
1;DRAM Bound;3.7
1;NUMA: % of Remote Accesses;0.9
0;Vectorization;78.5
1;Instruction Mix;
2;SP FLOPs;6.7
3;Packed;91.8
4;128-bit;0.0
4;256-bit;28.3
4;512-bit;63.4
3;Scalar;8.2
2;DP FLOPs;1.2
3;Packed;5.2
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;5.2
3;Scalar;94.8
2;x87 FLOPs;0.0
2;Non-FP;92.1
1;FP Arith/Mem Rd Instr. Ratio;0.311949
1;FP Arith/Mem Wr Instr. Ratio;0.618486
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo.scaled_2048" "-pk" "intel" "0" "omp" "1" "mode" "single" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;6
1;Computer Name;instance-20220530-1006
1;Result Size;3286284
1;Collection start time;14:48:09 31/05/2022 UTC
1;Collection stop time;14:48:31 31/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593983900
2;Logical CPU Count;128
