/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220526/hwmetrics/results.instance-20220526-1048,1.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;57.250146
1;SP GFLOPS;6.501941
1;DP GFLOPS;0.499469
1;x87 GFLOPS;0.0
1;IPC;1.570169
1;Average CPU Frequency;3284505430.355864
1;Total Thread Count;
1;CPU Time;56.574733
0;Effective Physical Core Utilization;1.5% (0.989 out of 64)
1;Effective Logical Core Utilization;0.8% (0.988 out of 128)
0;Memory Bound;16.9
1;Cache Bound;16.4
1;DRAM Bound;3.3
1;NUMA: % of Remote Accesses;0.7
0;Vectorization;79.4
1;Instruction Mix;
2;SP FLOPs;7.6
3;Packed;93.7
4;128-bit;0.0
4;256-bit;19.6
4;512-bit;74.1
3;Scalar;6.3
2;DP FLOPs;2.3
3;Packed;33.4
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;33.4
3;Scalar;66.6
2;x87 FLOPs;0.0
2;Non-FP;90.1
1;FP Arith/Mem Rd Instr. Ratio;0.389525
1;FP Arith/Mem Wr Instr. Ratio;0.842352
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo.scaled_2048" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;6
1;Computer Name;instance-20220526-1048
1;Result Size;3286299
1;Collection start time;17:27:48 26/05/2022 UTC
1;Collection stop time;17:28:45 26/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593975877
2;Logical CPU Count;128
