Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-26 17:21:39
OpenMP threads number, per Process;1
Used statistics;./in.rhodo.scaled_2048_1n_1ont_2048k_aps
Elapsed Time, s;9.55
MPI Time, s;0.07
MPI Time, % of Elapsed Time;0.75
MPI Imbalance;                            N/A*

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.06
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;0.60
MPI Hotspot 2 - MPI_Alltoallv, s;0.01
MPI Hotspot 2 - MPI_Alltoallv, % of Elapsed Time;0.11
MPI Hotspot 3 - MPI_Comm_dup, s;0.00
MPI Hotspot 3 - MPI_Comm_dup, % of Elapsed Time;0.02
MPI Hotspot 4 - MPI_Bcast, s;0.00
MPI Hotspot 4 - MPI_Bcast, % of Elapsed Time;0.01
MPI Hotspot 5 - MPI_Alltoall, s;0.00
MPI Hotspot 5 - MPI_Alltoall, % of Elapsed Time;0.01
Disk I/O Bound, s;0.00
Memory Footprint
Resident,MB;       2899.00
Virtual,MB;       5246.00
| Counters, Memory and Disk usage statistics for all Ranks
Elapsed Time, s
  MIN;            9.55 ;Rank 0
  MAX;            9.55 ;Rank 0
  AVG;            9.55 ;

MPI Time, s
Total;            0.07 ;all ranks
  MIN;            0.07 ;Rank 0
  MAX;            0.07 ;Rank 0
  AVG;            0.07 ;

MPI Time, % of Elapsed Time
  MIN;            0.75 ;Rank 0
  MAX;            0.75 ;Rank 0
  AVG;            0.75 ;

MPI Imbalance, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 1 - MPI_Init, s
Total;            0.06 ;all ranks
  MIN;            0.06 ;Rank 0
  MAX;            0.06 ;Rank 0
  AVG;            0.06 ;

MPI Hotspot 1 - MPI_Init, % of Elapsed Time
  MIN;            0.60 ;Rank 0
  MAX;            0.60 ;Rank 0
  AVG;            0.60 ;

MPI Hotspot 2 - MPI_Alltoallv, s
Total;            0.01 ;all ranks
  MIN;            0.01 ;Rank 0
  MAX;            0.01 ;Rank 0
  AVG;            0.01 ;

MPI Hotspot 2 - MPI_Alltoallv, % of Elapsed Time
  MIN;            0.11 ;Rank 0
  MAX;            0.11 ;Rank 0
  AVG;            0.11 ;

MPI Hotspot 3 - MPI_Comm_dup, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 3 - MPI_Comm_dup, % of Elapsed Time
  MIN;            0.02 ;Rank 0
  MAX;            0.02 ;Rank 0
  AVG;            0.02 ;

MPI Hotspot 4 - MPI_Bcast, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 4 - MPI_Bcast, % of Elapsed Time
  MIN;            0.01 ;Rank 0
  MAX;            0.01 ;Rank 0
  AVG;            0.01 ;

MPI Hotspot 5 - MPI_Alltoall, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 5 - MPI_Alltoall, % of Elapsed Time
  MIN;            0.01 ;Rank 0
  MAX;            0.01 ;Rank 0
  AVG;            0.01 ;

OpenMP threads number, per Process
  MIN;            1.00 ;Rank 0
  MAX;            1.00 ;Rank 0
  AVG;            1.00 ;

Disk I/O Bound, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

Resident Memory Usage per Rank, MB
Total;         2899.00 ;all ranks
  MIN;         2899.00 ;Rank 0
  MAX;         2899.00 ;Rank 0
  AVG;         2899.00 ;

Resident Memory Usage per Node, MB
Total;         2899.00 ;all nodes
  MIN;         2899.00 ;Node instance-20220526-1048
  MAX;         2899.00 ;Node instance-20220526-1048
  AVG;         2899.00 ;

