/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220526/hwmetrics/results.instance-20220526-1048,5.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;14.969775
1;SP GFLOPS;5.597760
1;DP GFLOPS;0.422871
1;x87 GFLOPS;0.000001
1;IPC;1.485229
1;Average CPU Frequency;3174669600.507234
1;Total Thread Count;
1;CPU Time;14.524752
0;Effective Physical Core Utilization;1.5% (0.976 out of 64)
1;Effective Logical Core Utilization;0.8% (0.970 out of 128)
0;Memory Bound;15.7
1;Cache Bound;16.3
1;DRAM Bound;1.8
1;NUMA: % of Remote Accesses;1.4
0;Vectorization;78.5
1;Instruction Mix;
2;SP FLOPs;7.3
3;Packed;93.8
4;128-bit;0.0
4;256-bit;27.4
4;512-bit;66.4
3;Scalar;6.2
2;DP FLOPs;2.3
3;Packed;29.9
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;29.9
3;Scalar;70.1
2;x87 FLOPs;0.0
2;Non-FP;90.4
1;FP Arith/Mem Rd Instr. Ratio;0.387438
1;FP Arith/Mem Wr Instr. Ratio;0.807503
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo.scaled" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;2
1;Computer Name;instance-20220526-1048
1;Result Size;3286265
1;Collection start time;17:10:28 26/05/2022 UTC
1;Collection stop time;17:10:43 26/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593975892
2;Logical CPU Count;128
