Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-04-21 15:19:15
Number of ranks;16
Ranks per node;16
OpenMP threads number, per Rank;1
Used statistics;./in.rhodo.timer_16n_1ont_32k_aps
Elapsed Time, s;3.46
MPI Time, s;0.76
MPI Time, % of Elapsed Time;21.96
MPI Imbalance, s;0.10
MPI Imbalance, % of Elapsed Time;3.00

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.33
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;9.45
MPI Hotspot 2 - MPI_Wait, s;0.15
MPI Hotspot 2 - MPI_Wait, % of Elapsed Time;4.41
MPI Hotspot 3 - MPI_Allreduce, s;0.13
MPI Hotspot 3 - MPI_Allreduce, % of Elapsed Time;3.78
MPI Hotspot 4 - MPI_Send, s;0.05
MPI Hotspot 4 - MPI_Send, % of Elapsed Time;1.47
MPI Hotspot 5 - MPI_Waitany, s;0.04
MPI Hotspot 5 - MPI_Waitany, % of Elapsed Time;1.25
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         2715.00
Peak resident set node;instance-20220421-1624
Average resident set size,MB;         2715.00
Per rank
Peak resident set size,MB;          173.00
Peak resident set rank;0
Average resident set size,MB;          169.69
Virtual
Per node
Peak memory consumption,MB;        64649.00
Peak memory consumption node;instance-20220421-1624
Average memory consumption,MB;        64649.00
Per rank
Peak memory consumption,MB;         4044.00
Peak memory consumption rank;7
Average memory consumption,MB;         4040.56
