Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-04-21 15:18:01
OpenMP threads number, per Process;1
Used statistics;./in.rhodo.timer_1n_1ont_32k_aps
Elapsed Time, s;37.87
MPI Time, s;0.05
MPI Time, % of Elapsed Time;0.13
MPI Imbalance;                            N/A*

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.04
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;0.09
MPI Hotspot 2 - MPI_Finalize, s;0.01
MPI Hotspot 2 - MPI_Finalize, % of Elapsed Time;0.01
MPI Hotspot 3 - MPI_Allreduce, s;0.00
MPI Hotspot 3 - MPI_Allreduce, % of Elapsed Time;0.01
MPI Hotspot 4 - MPI_Alltoallv, s;0.00
MPI Hotspot 4 - MPI_Alltoallv, % of Elapsed Time;0.00
MPI Hotspot 5 - MPI_Comm_free, s;0.00
MPI Hotspot 5 - MPI_Comm_free, % of Elapsed Time;0.00
Disk I/O Bound, s;0.00
Memory Footprint
Resident,MB;        282.00
Virtual,MB;        954.00
| Counters, Memory and Disk usage statistics for all Ranks
Elapsed Time, s
  MIN;           37.87 ;Rank 0
  MAX;           37.87 ;Rank 0
  AVG;           37.87 ;

MPI Time, s
Total;            0.05 ;all ranks
  MIN;            0.05 ;Rank 0
  MAX;            0.05 ;Rank 0
  AVG;            0.05 ;

MPI Time, % of Elapsed Time
  MIN;            0.13 ;Rank 0
  MAX;            0.13 ;Rank 0
  AVG;            0.13 ;

MPI Imbalance, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 1 - MPI_Init, s
Total;            0.04 ;all ranks
  MIN;            0.04 ;Rank 0
  MAX;            0.04 ;Rank 0
  AVG;            0.04 ;

MPI Hotspot 1 - MPI_Init, % of Elapsed Time
  MIN;            0.09 ;Rank 0
  MAX;            0.09 ;Rank 0
  AVG;            0.09 ;

MPI Hotspot 2 - MPI_Finalize, s
Total;            0.01 ;all ranks
  MIN;            0.01 ;Rank 0
  MAX;            0.01 ;Rank 0
  AVG;            0.01 ;

MPI Hotspot 2 - MPI_Finalize, % of Elapsed Time
  MIN;            0.01 ;Rank 0
  MAX;            0.01 ;Rank 0
  AVG;            0.01 ;

MPI Hotspot 3 - MPI_Allreduce, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 3 - MPI_Allreduce, % of Elapsed Time
  MIN;            0.01 ;Rank 0
  MAX;            0.01 ;Rank 0
  AVG;            0.01 ;

MPI Hotspot 4 - MPI_Alltoallv, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 4 - MPI_Alltoallv, % of Elapsed Time
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 5 - MPI_Comm_free, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 5 - MPI_Comm_free, % of Elapsed Time
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

OpenMP threads number, per Process
  MIN;            1.00 ;Rank 0
  MAX;            1.00 ;Rank 0
  AVG;            1.00 ;

Disk I/O Bound, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

Resident Memory Usage per Rank, MB
Total;          282.00 ;all ranks
  MIN;          282.00 ;Rank 0
  MAX;          282.00 ;Rank 0
  AVG;          282.00 ;

Resident Memory Usage per Node, MB
Total;          282.00 ;all nodes
  MIN;          282.00 ;Node instance-20220421-1624
  MAX;          282.00 ;Node instance-20220421-1624
  AVG;          282.00 ;

Virtual Memory Usage per Rank, MB
Total;          954.00 ;all ranks
  MIN;          954.00 ;Rank 0
  MAX;          954.00 ;Rank 0
  AVG;          954.00 ;

Virtual Memory Usage per Node, MB
Total;          954.00 ;all nodes
  MIN;          954.00 ;Node instance-20220421-1624
  MAX;          954.00 ;Node instance-20220421-1624
  AVG;          954.00 ;

| MPI Time per Rank for all Ranks
Rank;Elapsed Time(sec);    MPI;Time(sec);    MPI;Time(%);Imbalance(sec);Imbalance(%)
  0000 ;           37.87;            0.05;           0.13;            0.00;           0.00
| TOTAL;           37.87;            0.05;           0.13;            0.00;           0.00
| AVG  ;           37.87;            0.05;           0.13;            0.00;           0.00

| Number of ranks = 1

|#########################################################
| RANK 0
|#########################################################
Elapsed Time;37.87;sec
MPI Time;0.05;sec;0.13%
MPI Imbalance;0.00;sec;0.00%

Function;Time(sec);Time(%);Volume(MB);Volume(%);Calls;AvrMsgSize(B)
            MPI_Init;            0.04;            0.09;             N/A;             N/A;               1;             N/A
        MPI_Finalize;            0.01;            0.01;             N/A;             N/A;               1;             N/A
       MPI_Allreduce;            0.00;            0.01;             N/A;             N/A;            4481;             N/A
       MPI_Alltoallv;            0.00;            0.00;             N/A;             N/A;              14;             N/A
       MPI_Comm_free;            0.00;            0.00;             N/A;             N/A;               8;             N/A
           MPI_Bcast;            0.00;            0.00;             N/A;             N/A;             848;             N/A
        MPI_Comm_dup;            0.00;            0.00;             N/A;             N/A;               7;             N/A
     MPI_Cart_create;            0.00;            0.00;             N/A;             N/A;               1;             N/A
         MPI_Barrier;            0.00;            0.00;             N/A;             N/A;               6;             N/A
        MPI_Alltoall;            0.00;            0.00;             N/A;             N/A;              14;             N/A
          MPI_Reduce;            0.00;            0.00;             N/A;             N/A;               3;             N/A
       MPI_Allgather;            0.00;            0.00;             N/A;             N/A;              14;             N/A
       MPI_Comm_rank;            0.00;            0.00;             N/A;             N/A;              24;             N/A
        MPI_Cart_get;            0.00;            0.00;             N/A;             N/A;               1;             N/A
       MPI_Comm_size;            0.00;            0.00;             N/A;             N/A;              17;             N/A
       MPI_Cart_rank;            0.00;            0.00;             N/A;             N/A;               1;             N/A
      MPI_Cart_shift;            0.00;            0.00;             N/A;             N/A;               3;             N/A
       MPI_Type_size;            0.00;            0.00;             N/A;             N/A;               2;             N/A
| TOTAL             ;            0.05;            0.13;             N/A;             N/A;            5446;             N/A

Function;Time(sec);Time(%);Volume(MB);Volume(%);Calls;MsgSize(B)
            MPI_Init;            0.04;            0.09;             N/A;             N/A;               1             ;N/A
        MPI_Finalize;            0.01;            0.01;             N/A;             N/A;               1             ;N/A
       MPI_Allreduce;            0.00;            0.01;             N/A;             N/A;            4481             ;N/A
       MPI_Alltoallv;            0.00;            0.00;             N/A;             N/A;              14             ;N/A
       MPI_Comm_free;            0.00;            0.00;             N/A;             N/A;               8             ;N/A
           MPI_Bcast;            0.00;            0.00;             N/A;             N/A;             848             ;N/A
        MPI_Comm_dup;            0.00;            0.00;             N/A;             N/A;               7             ;N/A
     MPI_Cart_create;            0.00;            0.00;             N/A;             N/A;               1             ;N/A
         MPI_Barrier;            0.00;            0.00;             N/A;             N/A;               6             ;N/A
        MPI_Alltoall;            0.00;            0.00;             N/A;             N/A;              14             ;N/A
          MPI_Reduce;            0.00;            0.00;             N/A;             N/A;               3             ;N/A
       MPI_Allgather;            0.00;            0.00;             N/A;             N/A;              14             ;N/A
       MPI_Comm_rank;            0.00;            0.00;             N/A;             N/A;              24             ;N/A
        MPI_Cart_get;            0.00;            0.00;             N/A;             N/A;               1             ;N/A
       MPI_Comm_size;            0.00;            0.00;             N/A;             N/A;              17             ;N/A
       MPI_Cart_rank;            0.00;            0.00;             N/A;             N/A;               1             ;N/A
      MPI_Cart_shift;            0.00;            0.00;             N/A;             N/A;               3             ;N/A
       MPI_Type_size;            0.00;            0.00;             N/A;             N/A;               2             ;N/A

WARNING: No information about Volume of transfers. Set the APS_STAT_LEVEL value to 2 or greater to generate results. 
| % - percentage of MPI functions total time
| Function summary for all Ranks
Function;Time(sec);Time(%);Imbalance(sec);Imbalance(%);Volume(MB);Volume(%);Calls
                  MPI_Init;            0.04;           73.67     ;            0.00    ;            0.00;              N/A;             N/A;                1
                              ; Min:;0.0352          
                              ; Avg:;0.0352          
                              ; Max:;0.0352          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
              MPI_Finalize;            0.01;           11.01     ;            0.00    ;            0.00;              N/A;             N/A;                1
                              ; Min:;0.0053          
                              ; Avg:;0.0053          
                              ; Max:;0.0053          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
             MPI_Allreduce;            0.00;            7.99     ;            0.00    ;            0.00;              N/A;             N/A;             4481
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0005          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
             MPI_Alltoallv;            0.00;            2.37     ;            0.00    ;            0.00;              N/A;             N/A;               14
                              ; Min:;0.0000          
                              ; Avg:;0.0001          
                              ; Max:;0.0010          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
             MPI_Comm_free;            0.00;            2.20     ;            0.00    ;            0.00;              N/A;             N/A;                8
                              ; Min:;0.0000          
                              ; Avg:;0.0001          
                              ; Max:;0.0010          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
                 MPI_Bcast;            0.00;            1.41     ;            0.00    ;            0.00;              N/A;             N/A;              848
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0005          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
              MPI_Comm_dup;            0.00;            0.98     ;            0.00    ;            0.00;              N/A;             N/A;                7
                              ; Min:;0.0000          
                              ; Avg:;0.0001          
                              ; Max:;0.0004          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
           MPI_Cart_create;            0.00;            0.14     ;            0.00    ;            0.00;              N/A;             N/A;                1
                              ; Min:;0.0001          
                              ; Avg:;0.0001          
                              ; Max:;0.0001          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
               MPI_Barrier;            0.00;            0.08     ;            0.00    ;            0.00;              N/A;             N/A;                6
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
              MPI_Alltoall;            0.00;            0.06     ;            0.00    ;            0.00;              N/A;             N/A;               14
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
                MPI_Reduce;            0.00;            0.04     ;            0.00    ;            0.00;              N/A;             N/A;                3
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
             MPI_Allgather;            0.00;            0.02     ;            0.00    ;            0.00;              N/A;             N/A;               14
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
             MPI_Comm_rank;            0.00;            0.01     ;            0.00    ;            0.00;              N/A;             N/A;               24
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
              MPI_Cart_get;            0.00;            0.01     ;            0.00    ;            0.00;              N/A;             N/A;                1
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
             MPI_Comm_size;            0.00;            0.01     ;            0.00    ;            0.00;              N/A;             N/A;               17
                              ; Min:;0.0000          
| TOTAL                   ;            0.05;          100.00     ;            0.00    ;            0.00;              N/A;             N/A;             5446

WARNING: No information about Volume of transfers. Set the APS_STAT_LEVEL value to 2 or greater to generate results. 
| Communicators used in the application
Communicator Id;Communicator Size;Time (Rank Average)(sec);Ranks
